smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active
CN1C(=O)CN=C(C2=CCCC2)c2cc(Cl)ccc21,0.9318181818181818,0.990062370657659,7.603017070902424,6.163271874150392,6.815036183711204,5.933712105835473,0.7355438
O=C1NCC2=C1CN=C(c1ccccc1Cl)c1ccc(Cl)cc12,0.9285714285714286,0.758217186143104,6.276076579001102,5.929950665112009,5.569141990708804,5.646932945621423,0.45980525
CCOC(=O)N1CCC(=O)N(c2ccccc2)c2ccc(Cl)cc21,0.9148936170212766,0.9260415265215998,7.051505428878257,5.92232610140926,5.533419896867859,5.358034820559773,0.5169162
CN1C(=O)CC(=O)N(c2ccccc2)c2ccc(Cl)cc21,0.8918918918918919,0.7370222464257851,6.685540108240772,6.080922222681314,5.466831291874843,5.462853218971561,0.538053
O=C1CN2CCCOC2(c2ccccc2F)c2cc(Br)ccc2N1,0.8775510204081632,0.4783257726655265,6.917579892181189,6.4464358064424925,5.972209452989426,5.963426375568068,0.6954773
CN1CCN(C=C2N=C3CN=C(c4ccccc4Cl)c4ccc([N+](=O)[O-])cc4N3C2=O)CC1,0.875,0.36647190841840593,7.678082456494929,7.620664682888784,7.050612684280631,6.900254532846415,0.9174113
CCOC(=O)c1ncn2c1CN=C(c1ccccc1F)c1ccc(Br)cc1-2,0.8666666666666667,0.9947705856846668,7.523700523198744,6.986865158900308,6.293062464861914,6.388521657273344,0.86390424
CCOC(=O)C1N=C(c2ccccc2Cl)c2ccc(Cl)cc2NC1=O,0.8653846153846154,0.8823292099480583,7.068141736471106,6.551396698356677,6.128626538323696,6.051184623973615,0.7537492
Cc1cccc(Cl)c1C1=NCC(=O)N(C)c2ccc(Cl)cc21,0.8636363636363636,0.9874625495675531,6.4483359677002685,6.558692401812336,5.496964657065464,5.581152416760699,0.6285847
C#Cc1ccc2c(c1)-n1cnc(C(=O)OCC)c1CN(C)C2=O,0.8571428571428571,0.9380423621800617,7.356915606273032,6.982998076135507,6.659778230652192,6.347018270118798,0.8617452
Clc1ccc(C2=NCc3nncn3-c3ccc(Cl)cc32)cc1,0.8571428571428571,0.9869777946272869,7.01031341602942,6.568546378078175,5.617590114500827,5.626868011074479,0.7085401
CN1C(=O)C(O)N=C(c2ccc(Cl)cc2)c2cc(Cl)ccc21,0.8571428571428571,0.9955232144028607,6.9736032306456215,6.461448343361821,6.064760434143913,6.051031828620273,0.7087373
