smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active
O=C1NCC2=C1CN=C(c1ccccc1Cl)c1ccc(Cl)cc12,0.9285714285714286,0.758217186143104,6.276076579001102,5.929950665112009,5.569141990708804,5.646932945621423,0.45980525
CN1C(=O)CC(=O)N(c2ccccc2)c2ccc(Cl)cc21,0.8918918918918919,0.7370222464257851,6.685540108240772,6.080922222681314,5.466831291874843,5.462853218971561,0.538053
CCOC(=O)c1ncn2c1C1CCN1C(=O)c1ccccc1-2,0.8867924528301887,0.990758640215441,7.529051472261254,6.645523348390518,5.893877193106738,5.953065277355248,0.7867217
CCCN(CCC)Cc1nc(-c2ncn3c2CN(C)C(=O)c2ccc(F)cc2-3)no1,0.875,0.9768144606926092,6.637189838378088,6.606515242746713,6.36680194797949,6.27561390175172,0.73252636
C#Cc1ccc2c(c1)-n1cnc(C(=O)OCC)c1CN(C)C2=O,0.8571428571428571,0.9380423621800617,7.356915606273032,6.982998076135507,6.659778230652192,6.347018270118798,0.8617452
O=C1CN=C(c2ccccc2Cl)c2ccc([N+](=O)[O-])cc2N1CC1CC1,0.8545454545454545,0.5840412190195686,6.993715905306323,6.616278373324017,6.0231792808482805,5.946445832004015,0.73414326
CCOC(=O)C1N=C(c2c(F)cccc2F)c2cc(Cl)ccc2N(C(=O)NC)C1=O,0.8524590163934426,0.9934513472847907,7.995930519173484,7.750187367735522,8.05101287061486,7.847282768458109,0.91357917
CN1Cc2c(C(=O)OC(F)(F)F)ncn2-c2ccc(N3CCCCC3)cc2C1=O,0.847457627118644,0.7179086973947121,7.658796069364328,7.273548211928367,6.927240524827115,6.83145436449874,0.89745015
CN1C(=O)CN2CCc3ccc(Cl)cc3C2c2cc(Cl)ccc21,0.8444444444444444,0.32348462436299363,7.459435828516924,6.898662126690543,6.3070260372086,6.101646807447114,0.8397457
CN1C(=O)CN=C(c2c(F)cccc2Cl)c2cc(Cl)ccc21,0.8444444444444444,0.9970769147040218,7.512725079812106,7.043534480419491,7.003822378182043,6.736016628982586,0.8729906
COC(=O)CC1N=C(c2ccccn2)c2cc(Br)ccc2-n2cc(C)nc21,0.84375,0.9846920787759301,7.554521742520342,7.215295543476351,6.77812253372783,6.703354748898231,0.88054115
CN1C(=O)CC(=O)N(c2cccc(Cl)c2)c2cc(Cl)ccc21,0.8421052631578947,0.6780586301669703,7.117348547753606,6.398813862796385,6.737161821800966,6.322103666040338,0.6906193
O=C1CCNc2ccc(Cl)cc2N1c1ccc(Cl)cc1,0.8421052631578947,0.5861209371195005,6.327367334209826,5.97375204818777,5.341745795033836,5.311478470285281,0.42577043
CN(C)Cc1nnc2n1-c1cc(Cl)ccc1C(c1ccccc1)=NC2,0.84,0.793114369421426,7.321367142778332,6.792819228429348,6.590515574068095,6.5169926720361975,0.8528906
CC1N=C(c2ccccc2F)c2cc(C#N)ccc2-n2cnc(C(=O)N(C)C)c21,0.8387096774193549,0.09421245503352804,8.072938868744664,7.775122714099729,7.9253691162386035,7.810578993861949,0.9160915
O=C(O)C1N=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2NC1=O,0.8367346938775511,0.5564936332192846,7.215089476984004,6.654832977844162,6.477983224344857,6.316979998215915,0.79284257
C#CCN1C(=O)CN=C(c2ccccc2)c2ccc(Cl)cc21,0.8333333333333334,0.9135205442678601,7.26206273619354,6.3802697640152255,6.518251548857323,5.918781537213516,0.73327905
CCOC(=O)c1ncn2c1CN=C(c1ccccc1F)c1cc(F)ccc1-2,0.8333333333333334,0.9999986606328495,7.746407570982247,7.107756753533118,6.891548935094408,6.658175343374075,0.86792517
Cc1ccc(S(=O)(=O)CCN2C(=O)CN=C(c3ccccc3F)c3cc(Cl)ccc32)cc1,0.8333333333333334,0.9930670899419642,7.09085022234317,6.959398625387577,6.607374182851532,6.545127404682347,0.86332613
NC(=O)c1ncn2c1CN=C(c1ccccc1Cl)c1c(Cl)cccc1-2,0.8333333333333334,0.8026301543088098,7.295580728688251,7.051327003976536,6.243815622522933,6.373108228204517,0.86636
O=C1COC(N2CCN=C(c3ccccc3F)c3cc(Cl)ccc32)=N1,0.8301886792452831,0.9682793506136159,7.091439736233145,6.927978985454275,6.995266413830397,6.7754005422213135,0.8397987
FC(F)(F)CN1CCN=C(c2ccccc2Cl)c2cc(Cl)ccc21,0.8297872340425532,0.9326608296673987,6.43908707212902,5.995750041895467,6.050096398953362,5.684219581112559,0.53916633
CNC(=O)c1ncn2c1CN=C(c1ccccc1)c1cc(C#N)ccc1-2,0.8275862068965517,0.9907635601632888,7.605976697183181,7.139827993371335,6.441243396240399,6.583061976147696,0.87863475
CN(C)C(=O)c1nc2n(n1)-c1ccccc1C(c1ccccc1Cl)=NC2,0.8269230769230769,0.21133808259971662,7.323271138298987,6.8640746021724,6.435809033878706,6.3351418897186464,0.85139817
O=C1CN=C(c2c(F)cccc2Cl)c2cc(F)ccc2N1,0.8260869565217391,0.3309856965302584,7.144796105398888,7.008947934599568,6.341413718783849,6.438445205901465,0.8480691
O=C1CN=C(c2c(F)cccc2Cl)c2ccccc2N1,0.825,0.2993469514265141,6.802744528733416,6.683251545248593,6.171273062850108,6.097772090118155,0.7570593
O=C(O)CCC(=O)OC1N=C(c2ccccc2Cl)c2cc(Cl)ccc2NC1=O,0.8245614035087719,0.8623649227435919,7.477368729733126,7.297737380851414,6.513318332557758,6.505147261687209,0.8839132
CN=C1CN(O)C(c2ccccc2)=c2ccc(Cl)cc2=N1,0.8222222222222222,0.5088852484673791,6.519978134865364,5.925772861962182,5.926467812921106,5.68927642882298,0.5109257
CN(C)C(=O)c1nc2n(n1)-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0.8214285714285714,0.9759419152559232,7.484221635128678,6.964985865559584,6.324993229723986,6.372561056849335,0.86251503
NC(=O)c1ncn2c1CN=C(c1ccccc1Cl)c1ccc(Cl)cc1-2,0.82,0.89858324325914,7.200223762596247,6.802647621562234,5.829852086464719,6.009326897133418,0.78979504
CCCN(CCC)Cc1nc(-c2ncn3c2CN(C)C(=O)c2cc(Cl)ccc2-3)no1,0.8181818181818182,0.9895223632035015,6.905633863224621,6.752781824903899,6.681055428200958,6.537979419933657,0.82231355
N#CCCN1C(=O)C(O)N=C(c2ccccc2F)c2cc(F)ccc21,0.8181818181818182,0.9559792905886119,6.978297173610888,6.527616525194182,6.187337491729046,6.161677883908445,0.73922074
