smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active
CC1(C)CC(=O)Nc2ccccc2-c2cccc(F)c2C1=O,0.5217391304347826,0.41875546407293945,7.173585975791313,7.0135221655660205,6.39747003105542,6.07711760413863,0.85235745
CC(C)C(=O)NC(=O)c1cc([N+](=O)[O-])ccc1Cl,0.5,0.11998514287715253,5.798748563901355,5.386925816426863,5.116802489062593,4.068113478642631,0.18443516
COC(C(=O)Nc1cc([N+](=O)[O-])ccc1Cl)C(N)C(C)C,0.4915254237288136,0.1797022383910321,5.744030576816483,5.799621988467839,4.924847466561123,4.48573732276214,0.301812
CN1CC(=O)C(=O)N(c2ccccc2)c2ccc(Cl)cc2C1=O,0.4897959183673469,0.87959443196509,6.333171762329593,5.337881106901712,5.134791705537239,4.776554619167421,0.25434065
NC(=O)N1CCC(c2ccccc2)c2cc(Cl)ccc21,0.4821428571428571,0.22799043869061414,6.387972571039835,5.926577454837122,5.846900938948592,5.641869489274567,0.49147555
CCOC(=O)N1CCN(Cc2ccccc2)c2ccccc21,0.4727272727272727,0.5448052546319199,5.969112048422238,5.480854892524418,5.370368505730162,4.288657835071922,0.20505206
CC(C)NC(=O)C(=O)C(C(=O)Nc1ccc([N+](=O)[O-])cc1Cl)c1ccc(N)cc1,0.46875,0.27622269370376795,6.032663856151866,5.881423889905885,5.172322593623088,5.190333678283448,0.38242692
CC(C)NC(=O)C(=O)Nc1ccc(-c2ccc(N)cc2)cc1C(=O)c1ccccc1Cl,0.4677419354838709,0.18310980928349185,7.099409199401888,6.384970375907276,6.252783053925149,6.0486880757013335,0.683098
CC(C)NC(=O)c1ccc([N+](=O)[O-])cc1-c1ccccc1Cl,0.4576271186440678,0.2715242204342978,7.293087278922485,6.5811548950777965,6.467829869733498,6.231630673838482,0.7690272
O=C1CCNc2ccc(Br)cc2N1c1ccc2[nH]ccc2c1,0.4545454545454545,0.7561733242078068,7.23348979928404,6.2947562480727495,5.861885748892811,5.890631254025554,0.6793201
CC(N)C(=O)Nc1cccc(Cl)c1Br,0.4528301886792453,0.03185257600607082,6.006199383610664,5.597929936109015,4.71368507899706,4.1081531425667,0.22932252
CCOC(=O)N1CCCN(C(=O)N2CCc3ccc(Cl)cc32)C1,0.4516129032258064,0.6769913339787226,6.8870449299754055,6.158898272213779,5.621274910600393,5.679463182573015,0.54419374
