smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active
COc1cc(C(=O)Nc2ccc(C(=O)Nc3ccc(C(C)(C)C)cc3)cc2)cc(OC)c1OC,1.0,0.07365273917592838,5.995693865545473,5.413766579300872,5.316558551009284,4.431099791557079,0.17937356
Oc1ccc(CNc2ccc(COc3ccccc3)cc2)cc1,0.9090909090909092,0.002367621999564597,5.483697827562592,4.943001509240086,4.45663773386321,4.024267544722251,0.080518
CCCOc1ccc(NC(=O)c2cc3c(C)nn(-c4ccccc4)c3s2)cc1,0.8571428571428571,0.17959288379910962,6.694378821987834,5.905155643164831,5.512789149342479,5.462895477136618,0.43597922
COC(=O)c1ccccc1NC(=O)Cn1c(=O)n(-c2ccc(F)cc2)c(=O)c2ccccc21,0.8363636363636363,0.042395672593633825,6.195247258431628,5.554652991722527,5.21234314943629,4.82602148770058,0.25999537
Cc1cccc(N2CCN(C(=O)c3ccc(CS(=O)c4ccccc4)o3)CC2)c1C,0.8181818181818182,0.004508724321802705,6.344730479807376,5.382186500185453,5.158433256913529,4.754192395567623,0.18690155
CCCCOc1ccc(C(=O)N(Cc2cccs2)c2ccc(OC)cc2)cc1,0.8113207547169812,0.024924526269817615,6.228163532548579,5.055862793669073,5.292529871283216,4.615725139841179,0.1290773
CCCOc1ccc(NC(=O)c2ccc(C(=O)Nc3ccccc3)cc2)c(C)c1,0.8085106382978723,0.025530780614733472,6.3339956729486175,5.401491422113974,5.287532283796868,4.510378227016967,0.18562844
COc1cc(C(=O)Nc2ccc(C(=O)Nc3ccc(C(C)(C)C)cc3)cc2)cc(OC)c1O,0.8,0.23906496273651656,6.006658341211417,5.418102883835703,5.319400385757949,4.432329097637932,0.18146499
COc1cc(C(=O)Nc2ccc(NC(=O)c3ccc(C(C)(C)C)cc3)cc2)cc(OC)c1C,0.8,0.05100078029277186,6.308995294140544,5.639261322139863,5.31151285389422,4.588130836558505,0.25194377
COc1cc(C(=O)Nc2ccc(CNC(=O)c3ccc(C(C)(C)C)cc3)cc2)cc(OC)c1OC,0.8,0.03511657141229169,6.471532510165685,5.811018882593753,5.372533495959882,4.960791110726557,0.35340333
