smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active
C=C1C(=CC=C(CCC)c2cccc(CCCCC(C)(C)O)c2)CC(O)CC1O,0.9821428571428572,0.9487311771246516,8.302755555690702,8.211062615284098,8.562115607729805,8.349935084241167,0.8176401
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCC)cc(OCCCC)c2)CC(O)CC1O,0.9647058823529412,0.9446411389401952,7.242916516441915,6.2372617155247525,6.924179450314052,6.544738169063449,0.6851541
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OC)cc(OCCCC)c2)CC(O)CC1O,0.9534883720930232,0.9365102826405177,7.204948689657037,6.220866383333433,6.839926184740095,6.506714332158583,0.67263055
C=C1C(=CC=C(CCC)c2cccc(CCCC(C)(C)O)c2)CC(O)CC1O,0.9473684210526316,0.9449677869520864,8.292582509616842,8.176967890724804,8.576184949229635,8.349189448217684,0.8135343
C=C1C(O)CC(=CC=C2CCCC3(C)C(CCCC(C)(C)O)CCC23)CC1O,0.9433962264150944,0.9413374794928803,8.356914842074763,8.255350797509767,8.690675988938478,8.421030354276304,0.7886606
CC(CCC(C)(C)O)C1CCC2C(=CC=C3CC(O)C(=CCF)C(O)C3)CCCC21C,0.9166666666666666,0.9501048191185736,8.340241801935731,8.25403541172163,8.60428325803821,8.375541809006418,0.7910616
C=C1C(=C)C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C(CC)CC(O)(CC)CC)CC1O,0.9,0.9787879356547569,8.436722233493766,8.394255721096055,8.688358576907488,8.432937977525256,0.8179268
C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C(CCCC)CC(O)c2ccc(O)cc2)CC1O,0.9,0.9550923158943436,8.115281687742312,7.618390870833743,8.155416756269808,8.025650132398114,0.79458547
C=C1C(=CC=C(CCCC)c2cccc(CCCCC(C)(C)O)c2)CC(O)CC1O,0.8983050847457628,0.9487566917071832,8.293688630715272,8.17579596681194,8.49365961048461,8.324857290894633,0.8225447
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OC)cc(OCCC)c2)CC(O)CC1O,0.8977272727272727,0.9339056851487458,7.246730459400811,6.288988972263412,6.848210821507421,6.5552103446241725,0.6890153
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCCO)CC(O)C(C)C1O,0.8904109589041096,0.9581000755812462,8.096107947380167,7.893840141838722,8.462978351894076,8.145064110097,0.8120861
C=C1C(O)CC(=CC=C2CCCC3(C)C(CCC(C)(C)O)CCC23)CC1O,0.8867924528301887,0.955137148646288,8.361903745612002,8.234056614188466,8.677750349783608,8.396344578639413,0.7882146
