smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active,GAT_GCN_Davis,GATNet_Davis,GCNNet_Davis,GINConvNet_Davis,GAT_GCN_KIBA,GATNet_KIBA,GCNNet_KIBA,GINConvNet_KIBA,GATNet_BindingDB_pIC50,GATNet_BindingDB_pKd,GCNNet_BindingDB_pKd,GCNNet_BindingDB_pKi,GINConvNet_BindingDB_pKd,GINConvNet_BindingDB_pIC50,GINConvNet_BindingDB_pKi,GAT_GCN_BindingDB_pKd,GAT_GCN_BindingDB_pKi,GAT_GCN_BindingDB_pIC50,GCNNet_BindingDB_pIC50
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CI,0.7708333333333334,0.9926268551708555,7.486132568251847,6.645969724455488,6.215513444768638,6.2781459818136085,0.79523337,5.0114565,5.2247853,4.9273405,5.588611,11.545673,11.515328,11.489003,11.358158,5.6087623,7.880062,6.798649,7.6858974,7.606142,5.5616837,6.73981,7.5379987,6.6300554,4.8836102,4.8756447
CN1CN=C(c2ccccc2)c2cc(Cl)ccc21,0.75,0.9672946752907721,6.893471104258788,6.329186531140534,6.325439824906741,5.901398966427592,0.699088,5.629822,5.826927,5.430678,5.630437,11.510675,11.480796,10.4454565,11.3996525,5.0981035,7.9122324,6.7238426,7.6519804,7.934234,5.9572678,7.106822,7.4050574,7.2173343,4.3299675,4.932329
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CS,0.7346938775510204,0.9870900631705573,7.560960919476591,6.731377307435285,6.205061772613526,6.25597627424028,0.8113005,5.8309703,5.728203,6.3350506,5.597164,11.582664,11.418673,11.337221,11.391219,5.63442,7.8833475,6.3543353,7.0154514,7.9267397,5.9107223,6.4351273,7.68898,7.7103667,4.666469,4.823251
CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.7346938775510204,0.9951734881735874,7.636397294324942,6.636873076370921,7.188355846085304,6.566367666503572,0.7857791,5.4811735,5.098394,5.974967,5.580901,11.642262,11.431751,10.511819,11.320056,5.5018687,8.1803665,6.3514996,6.3675437,7.679367,5.2300553,6.680576,6.9759884,6.8976574,4.6199503,5.011913
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CBr,0.7346938775510204,0.9942913737582368,7.509396130117142,6.648670488441344,6.225904958068236,6.252837408025192,0.7937014,5.643035,5.0956717,5.7683206,5.5833006,11.578674,11.567201,11.186953,11.512689,5.5571513,8.261514,6.4236107,6.7920065,7.895175,5.5103173,6.6055994,7.2899985,6.769708,4.561516,4.9424376
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CO,0.7346938775510204,0.9955876388260568,7.491904450342508,6.638094165083334,6.210100876369506,6.260224077955939,0.7913696,5.9888663,5.504441,6.129881,5.5943966,11.850182,11.574624,10.598621,11.416552,5.2985573,7.8230658,6.328667,7.234539,7.7833295,5.209636,6.586826,7.271991,7.033012,4.5790596,5.000464
NCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.7346938775510204,0.9937382483875535,7.440145316235476,6.748021569373533,7.219811091704509,6.6214644083608425,0.8118422,5.5969954,5.8164387,5.3886786,5.592548,11.550546,11.555185,10.734483,11.513472,5.413186,7.7698827,6.0926065,7.808316,8.071255,5.50291,6.754058,7.325835,8.238833,4.614626,6.228816
O=CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.7058823529411765,0.9909725548713184,7.472782332350399,6.608309023538237,7.0301110555754605,6.534901902870692,0.7581932,5.6700163,5.168737,5.882954,5.5744696,11.956679,11.393347,11.416002,11.453691,5.489128,8.112132,6.343416,7.521965,7.8962393,5.0849724,6.4153876,7.006199,7.9617004,4.3323994,4.9961753
CCCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.7058823529411765,0.9871315196581768,7.633800013482991,6.679958429973117,7.204228053469325,6.629610908599944,0.7953117,5.436654,5.584194,6.0038314,5.6491265,11.6840725,11.518235,10.664012,11.682021,5.6712666,8.175423,6.27335,7.0041513,7.9961667,5.265748,7.0154114,6.719597,6.7596684,4.526423,4.9668684
NCCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.7058823529411765,0.9933538570623897,7.455769201607179,6.655581655974627,7.164165478033343,6.633558886126906,0.79029685,5.6484447,5.745367,6.372484,5.590122,11.63822,11.57538,10.847691,11.404742,5.2791758,7.7862396,6.730978,8.047867,8.228212,5.299864,6.971422,7.1033587,6.7828703,4.31998,5.4229326
C#CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.7,0.9959328586529608,7.3895326996323005,6.95481771913155,7.345270567327149,6.770270781288729,0.8608422,6.1878266,5.2176957,5.8227596,5.469019,11.724991,11.43253,11.50275,12.144742,5.5778837,8.226814,6.6660843,7.693345,8.037573,5.2301407,6.808136,7.3865933,6.226654,4.4239106,4.842465
CC(C)CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.6923076923076923,0.9832890117736763,7.529774472144056,6.753917682054918,7.278061306698559,6.7392169635128045,0.82328755,5.5709352,5.9667935,6.0214415,5.46423,11.577152,11.41989,10.702487,11.870552,5.4110665,8.289898,6.3938513,7.0988035,8.0663185,5.4425573,6.9987435,8.999423,6.1641383,4.428001,5.358467
CNCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.6923076923076923,0.9885821817565704,7.599160963981971,6.660696496426557,7.19924618312969,6.613021609768702,0.7903068,6.299489,5.9542665,6.8753424,5.562403,11.817031,11.379132,10.749491,11.665153,5.306844,8.079025,6.6711597,7.176404,8.05389,5.238317,6.6492243,7.395907,7.204209,4.5254617,5.00052
COCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.6923076923076923,0.9999861018187096,7.672364119141683,6.673830505138296,7.316161259049079,6.665778323902508,0.7888117,6.1792507,5.705921,6.0402203,5.562376,11.676338,11.391507,10.565076,11.665325,5.511639,8.48891,6.60149,6.7174435,7.642594,5.218963,6.8479433,6.720783,7.3153167,4.4133387,4.970533
CSCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.6923076923076923,0.9966853170585056,7.423403837274512,6.920656659457509,7.261878432962781,6.77824732361911,0.8659213,5.9388437,6.328909,6.445895,5.548441,11.682641,11.464869,10.608395,11.642729,5.4791574,7.769304,6.6352215,6.9409704,7.6085434,5.564118,6.949221,7.9456215,6.6275015,4.5542107,4.867256
CC(=O)CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.6792452830188679,0.9878129839713343,7.555110378356928,6.690130103322678,7.1014069853886745,6.563775588236837,0.8004503,5.7318954,5.677065,5.896118,5.5598845,11.631052,11.420541,10.471098,11.711874,5.354664,7.9193773,7.234106,7.9672937,7.9568677,5.302513,6.654628,7.1834755,6.3068576,4.3193893,5.0142627
CC(O)CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.6666666666666666,0.9873731562636776,7.588961460594052,6.881608127000766,7.184069546774635,6.776477785421715,0.8556858,5.1596317,5.91649,5.664155,5.4490433,11.568454,11.273541,10.681959,11.8493395,5.53203,8.10182,6.4311886,7.0618687,8.281267,5.024558,6.6910233,7.275918,6.2053814,4.3995185,6.5615373
CCC(=O)CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.6545454545454545,0.9907594433708464,7.552758574321016,6.775320963096994,7.195668327821257,6.6702668371616936,0.8248098,5.405443,5.3853154,5.816786,5.603051,11.601261,11.406363,10.589488,11.947383,5.5485687,8.140541,6.31991,7.691143,8.08931,4.753686,6.587573,7.1765537,6.2781515,4.536256,5.0152273
CN1CC(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.6521739130434783,0.9876507181349902,7.015699826015882,6.158898272213779,6.609156125970164,5.949659783704271,0.6616905,5.681671,5.6848516,5.7227325,5.6125345,11.505221,11.504437,10.4911995,11.304968,5.17424,7.6908927,7.22988,7.4577146,7.9817324,5.278727,7.6277895,7.0542073,7.9120674,4.7080297,4.807285
COC(=O)CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.6428571428571429,0.99388973657184,7.489258168032516,6.706910994533535,7.267773882991063,6.6426315209694335,0.7997259,6.1732235,5.5613794,5.9733114,5.549552,11.444581,11.783048,10.485076,11.275665,5.7004805,8.651177,7.2589993,7.1715703,8.201655,4.9947886,6.728819,7.226697,6.300877,4.458763,5.053774
CNC(=O)CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.6428571428571429,0.9936184059151318,7.596143277364387,6.620553781997179,7.014800334921135,6.461286555284123,0.77927506,6.0953693,5.814515,6.5472755,5.4938707,11.739254,11.123084,10.448506,11.434435,4.98519,7.8364277,6.694367,8.142824,7.743075,5.310337,6.603601,7.7070975,6.7840915,4.624395,4.8058023
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1S,0.64,0.9941229315561495,7.512251665768778,6.668956503601383,6.382937456249737,6.370495893973666,0.8053117,5.491637,5.1006613,5.716772,5.4966097,11.706283,11.47559,10.859314,11.421136,5.384108,7.860188,7.0424232,7.4330244,8.041905,5.6104245,6.8010464,9.053433,6.5674396,5.852555,4.9644313
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1O,0.64,0.9965718212911951,7.501839141956387,6.672834087457992,6.398118174777307,6.361528092459017,0.80775917,5.2613516,5.0755754,5.6083145,5.5700145,11.692503,11.55116,10.727431,11.193783,5.474815,8.260103,7.2090273,7.670693,7.7808514,5.225323,6.7801404,6.915823,6.735935,4.3381596,5.066701
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1C#[SH],0.6346153846153846,0.9928926018725186,7.877971220303417,7.461598248979762,6.899467195077325,6.93359276012226,0.9108225,5.9458942,5.4923625,5.8375998,5.4269037,11.707313,11.410021,11.488747,11.897625,5.4424686,7.8748484,6.677698,7.414568,7.973654,5.7860866,6.8923135,7.6570907,7.8070354,4.7818966,4.884019
CN1C(=O)CN=C(c2ccccc2)c2ccc(Cl)cc21,0.6170212765957447,0.78342968981181,6.9966433878105,6.142704318512648,6.250240872277821,5.869131055522673,0.6332852,5.69604,5.8744965,5.5342855,5.4379196,11.597673,11.400336,10.506845,11.384678,5.165755,7.7704363,7.478012,7.8323665,7.838132,5.4235682,7.509503,7.220668,7.8492923,4.7674923,4.6180744
O=CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.6153846153846154,0.9895450474313101,7.529802091221286,6.939186681293204,7.37909808031499,6.842145504251426,0.8608072,5.4262505,5.153735,5.7307777,5.346262,11.940729,11.452803,11.113359,11.915931,5.572185,8.188683,6.669563,6.838224,7.998873,5.0478997,6.4634767,6.7956753,6.829619,4.860429,4.8445935
CCN1C(=O)C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.6111111111111112,0.9856833481027404,7.648689985033157,6.65090953313364,7.178962563705419,6.5707159842061,0.7834445,5.4218407,5.371057,5.9607983,5.553506,11.571711,11.420225,10.530717,11.345016,5.646968,7.897229,6.479171,6.9672427,7.699895,5.4054313,6.810609,6.847126,6.854461,5.0872126,5.9934783
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1C#CO,0.6111111111111112,0.9954943362892192,7.379234319810454,6.861588325237154,6.386407944039864,6.288909918360083,0.8432235,5.6315055,5.1219587,5.8484716,5.419382,11.890635,11.454239,10.803856,11.783754,5.5558534,8.098398,6.8508663,7.101239,8.410969,4.9098043,6.9799795,7.9666276,6.741996,4.2766047,4.5924354
O=C1CN=C(c2ccccc2)c2ccc(Cl)cc2N1CO,0.6037735849056604,0.9059921697005061,7.249564056002832,6.449376601390048,6.377190269231733,6.276507512862234,0.72053576,5.9933047,5.599733,6.1069145,5.5939865,11.685001,11.517565,10.526522,11.367877,5.424258,7.8688793,6.099708,7.026616,8.1317425,5.233826,6.421284,6.73392,7.3664184,5.2988443,5.7658978
