smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active,GAT_GCN_Davis,GATNet_Davis,GCNNet_Davis,GINConvNet_Davis,GAT_GCN_KIBA,GATNet_KIBA,GCNNet_KIBA,GINConvNet_KIBA,GATNet_BindingDB_pIC50,GATNet_BindingDB_pKd,GCNNet_BindingDB_pKd,GCNNet_BindingDB_pKi,GINConvNet_BindingDB_pKd,GINConvNet_BindingDB_pIC50,GINConvNet_BindingDB_pKi,GAT_GCN_BindingDB_pKd,GAT_GCN_BindingDB_pKi,GAT_GCN_BindingDB_pIC50,GCNNet_BindingDB_pIC50
CN1C(=O)CN=C(C2=CCCC2)c2cc(Cl)ccc21,0.9318181818181818,0.990062370657659,7.603017070902424,6.163271874150392,6.815036183711204,5.933712105835473,0.7355438,5.9180355,5.7608867,4.9098644,5.5143394,11.684604,11.347749,11.069197,11.475347,5.4486346,7.41035,6.983503,8.676226,8.544008,4.8915606,7.6592827,7.2037096,7.0710735,4.569942,4.923654
O=C1NCC2=C1CN=C(c1ccccc1Cl)c1ccc(Cl)cc12,0.9285714285714286,0.758217186143104,6.276076579001102,5.929950665112009,5.569141990708804,5.646932945621423,0.45980525,5.648015,5.1761165,5.0059333,5.548547,11.539164,10.434612,10.707893,11.23358,5.234925,7.854681,6.6045537,6.9529533,8.644802,5.47075,6.847131,8.532888,8.287115,5.517339,5.5210066
CCOC(=O)N1CCC(=O)N(c2ccccc2)c2ccc(Cl)cc21,0.9148936170212766,0.9260415265215998,7.051505428878257,5.92232610140926,5.533419896867859,5.358034820559773,0.5169162,5.581076,5.092746,5.7566705,5.5727634,11.519598,11.3100195,10.5273905,11.721072,5.1843195,8.06515,6.578559,6.4685664,8.836824,5.41453,6.49788,7.112106,6.0741334,4.7123985,4.7748804
CN1C(=O)CC(=O)N(c2ccccc2)c2ccc(Cl)cc21,0.8918918918918919,0.7370222464257851,6.685540108240772,6.080922222681314,5.466831291874843,5.462853218971561,0.538053,5.8959694,5.903935,5.2599773,5.49055,11.433295,11.432425,10.603167,11.58043,5.152531,7.6681843,7.0192866,6.9796886,9.0729885,5.0364523,7.5654182,6.882682,6.234211,5.768,5.4795017
O=C1CN2CCCOC2(c2ccccc2F)c2cc(Br)ccc2N1,0.8775510204081632,0.4783257726655265,6.917579892181189,6.4464358064424925,5.972209452989426,5.963426375568068,0.6954773,6.0127053,5.6670074,5.8786383,5.610966,11.792416,11.871682,10.76887,11.354642,5.451033,8.353398,6.5761795,5.657089,8.785933,5.4970016,7.9990177,8.966652,6.8374076,7.4657564,7.5239067
CN1CCN(C=C2N=C3CN=C(c4ccccc4Cl)c4ccc([N+](=O)[O-])cc4N3C2=O)CC1,0.875,0.36647190841840593,7.678082456494929,7.620664682888784,7.050612684280631,6.900254532846415,0.9174113,6.3066316,6.0803037,6.29805,5.7120886,12.152288,11.191107,11.306039,12.282325,5.0060263,7.3739114,6.5313935,8.102515,8.318192,5.323152,7.0514336,9.12104,6.8251176,5.4289527,6.704129
CCOC(=O)c1ncn2c1CN=C(c1ccccc1F)c1ccc(Br)cc1-2,0.8666666666666667,0.9947705856846668,7.523700523198744,6.986865158900308,6.293062464861914,6.388521657273344,0.86390424,5.950341,5.8315783,5.843249,5.0590973,11.915239,11.66037,11.435759,11.398936,7.6356907,8.684893,6.402009,7.3707523,8.846591,7.647665,7.836472,7.3557405,7.402117,6.1604505,5.2428393
CCOC(=O)C1N=C(c2ccccc2Cl)c2ccc(Cl)cc2NC1=O,0.8653846153846154,0.8823292099480583,7.068141736471106,6.551396698356677,6.128626538323696,6.051184623973615,0.7537492,5.713261,5.0693264,5.045439,5.0361385,11.775273,11.803077,11.483747,11.799762,5.7107573,7.9946184,7.4102817,7.1153183,8.976017,4.141121,8.084504,8.940083,5.9928093,4.5316997,5.1185064
Cc1cccc(Cl)c1C1=NCC(=O)N(C)c2ccc(Cl)cc21,0.8636363636363636,0.9874625495675531,6.4483359677002685,6.558692401812336,5.496964657065464,5.581152416760699,0.6285847,5.870395,5.933495,5.85448,5.470588,11.894448,11.468583,10.704584,11.634065,5.5116124,7.6220303,6.7461658,8.634087,8.926364,6.5989256,7.870453,7.6378,7.8927393,5.1995883,5.1501594
C#Cc1ccc2c(c1)-n1cnc(C(=O)OCC)c1CN(C)C2=O,0.8571428571428571,0.9380423621800617,7.356915606273032,6.982998076135507,6.659778230652192,6.347018270118798,0.8617452,6.147175,5.813368,5.931915,5.473604,11.690365,11.431073,11.321248,11.453886,6.3859515,7.8568296,6.8175745,7.252783,6.5866737,7.0765724,7.5624475,7.942784,7.9012523,5.9646397,4.973442
