smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active,GAT_GCN_Davis,GATNet_Davis,GCNNet_Davis,GINConvNet_Davis,GAT_GCN_KIBA,GATNet_KIBA,GCNNet_KIBA,GINConvNet_KIBA,GATNet_BindingDB_pIC50,GATNet_BindingDB_pKd,GCNNet_BindingDB_pKd,GCNNet_BindingDB_pKi,GINConvNet_BindingDB_pKd,GINConvNet_BindingDB_pIC50,GINConvNet_BindingDB_pKi,GAT_GCN_BindingDB_pKd,GAT_GCN_BindingDB_pKi,GAT_GCN_BindingDB_pIC50,GCNNet_BindingDB_pIC50
Cc1nnc(-c2cccc(-c3cccc(C(F)(F)F)c3)c2)o1,0.4285714285714285,0.7755759723004465,7.283713112118055,6.432070499469538,6.543883849987321,6.0150691274870445,0.74307317,5.1300344,5.1428156,5.729577,5.4375224,11.623388,11.497811,11.223518,11.173309,6.6761737,7.8505316,5.838356,6.897197,7.5656824,6.2044816,6.8142033,7.5047407,6.290878,4.4449267,5.495666
O=C(O)C1CC(=O)N(c2ccccc2)C(=O)N1c1ccc(Cl)cc1Cl,0.4259259259259259,0.524994334666587,6.791716527377659,6.153890556126553,5.548318822415204,5.416471020128535,0.53608423,5.393363,5.2035832,5.243245,5.4401035,11.421732,11.291179,10.784239,11.34854,5.2460446,7.6855927,7.2950335,6.325274,8.723867,5.1142607,7.404351,8.808767,6.0359883,4.7725773,5.175676
O=C1CC(c2ccccc2)=NN1c1cccc(Cl)c1,0.4166666666666667,0.6039660666537271,6.635571513195886,6.5563798174948005,5.912805657619415,5.295840199234768,0.6592464,5.8202677,5.1690927,5.7830887,5.5556936,11.776025,11.458733,11.038203,11.369769,5.277778,8.226458,6.635116,7.968206,7.6934175,5.3229685,6.229324,9.366981,6.5001965,5.3429976,5.21398
CCC(Cc1ccccc1)C(=O)N1CCc2ccc(Cl)cc21,0.4126984126984127,0.3473506824019182,6.234414958872661,5.47139643576746,5.604525413723239,4.844496635696585,0.28169218,5.623225,6.0471134,5.3084593,5.1426573,11.615359,11.418939,10.407787,11.462637,5.203186,8.123696,6.022868,8.003919,9.021175,4.822319,6.5147057,8.647406,6.6468663,4.3085847,6.4598303
Nc1cc(Cl)ccc1N1C(=O)N(c2ccccc2)C(=O)CC1C(=O)O,0.4107142857142857,0.5380011601069417,6.855999739088264,6.657288514085178,6.078165684446732,6.009326897133418,0.74234545,5.386243,5.076907,5.5018797,5.4852085,11.651103,11.563053,11.423817,11.382983,5.2170954,7.705196,7.184001,6.1684046,8.314112,5.022803,6.9776797,8.903671,6.921155,5.2250237,5.6919127
CCCOc1cn(-c2ccccc2)nc1C(=O)N1CCc2cc(Cl)ccc21,0.4084507042253521,0.8020772722685531,7.501724618395344,6.931996012212929,6.919664390229036,6.582377011488699,0.8593568,5.1980195,5.1462903,5.0489945,5.363759,11.42957,11.751991,10.822342,11.530781,6.471156,7.9451704,6.014583,6.54878,8.018864,5.142106,7.4593897,8.881366,7.4645286,6.1524034,5.3348103
CCCOc1cn(-c2ccccc2)nc1C(=O)N1CCc2ccc(Cl)cc21,0.4084507042253521,0.7542266497739963,7.575791575825457,6.937374401281671,6.902207897196193,6.658884521467666,0.8556438,5.1988316,5.145922,5.0600224,5.3955717,11.430644,11.706022,10.845495,11.452622,6.457239,7.9707365,6.019261,7.196427,8.099101,4.850299,7.418241,8.638609,6.703054,6.31239,5.617096
Cc1ccc(Cl)cc1NC(=O)C1CC(=O)N(C)c2ccccc21,0.40625,0.2271450905528151,5.86661391225359,4.0548075234580905,5.157294110482099,3.645104187608186,0.061494444,5.48032,5.963043,5.4510174,5.415806,11.813438,11.778686,10.783934,11.583369,4.837642,7.722048,6.9362183,6.7162595,9.302006,5.018923,7.181871,7.777743,7.645736,4.915147,5.123082
Cc1ccccc1-c1nnc(-c2cccc(C(F)(F)F)c2)o1,0.4038461538461538,0.6936699246770978,7.452803637817494,6.7453383529095925,6.385500769738194,5.933047613014588,0.83704716,5.080019,5.2242103,5.574709,5.1585836,11.744325,11.576064,10.656178,11.569453,6.56322,7.547327,5.761594,7.442002,8.182837,5.496728,7.0395775,7.4544415,6.616321,4.7529216,5.5394073
CN(C(=O)CN1CCc2ccc(Cl)cc21)c1ccccc1,0.4032258064516129,0.40039947372261275,7.499379653350414,6.88654972415226,6.46006141603054,6.394066589361223,0.8567561,5.897154,5.893237,5.657562,5.5270767,11.513157,11.231286,10.595108,11.484855,5.000426,7.6511703,6.736847,8.33238,8.630313,5.0412087,6.5953884,8.034466,7.27373,4.2351646,5.30399
