smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active,GAT_GCN_Davis,GATNet_Davis,GCNNet_Davis,GINConvNet_Davis,GAT_GCN_KIBA,GATNet_KIBA,GCNNet_KIBA,GINConvNet_KIBA,GATNet_BindingDB_pIC50,GATNet_BindingDB_pKd,GCNNet_BindingDB_pKd,GCNNet_BindingDB_pKi,GINConvNet_BindingDB_pKd,GINConvNet_BindingDB_pIC50,GINConvNet_BindingDB_pKi,GAT_GCN_BindingDB_pKd,GAT_GCN_BindingDB_pKi,GAT_GCN_BindingDB_pIC50,GCNNet_BindingDB_pIC50
O=C1NCC2=C1CN=C(c1ccccc1Cl)c1ccc(Cl)cc12,0.9285714285714286,0.758217186143104,6.276076579001102,5.929950665112009,5.569141990708804,5.646932945621423,0.45980525,5.648015,5.1761165,5.0059333,5.548547,11.539164,10.434612,10.707894,11.23358,5.234925,7.854681,6.604553,6.9529533,8.644802,5.47075,6.8471303,8.532888,8.287116,5.5173388,5.521006
CN1C(=O)CC(=O)N(c2ccccc2)c2ccc(Cl)cc21,0.8918918918918919,0.7370222464257851,6.685540108240772,6.080922222681314,5.466831291874843,5.462853218971561,0.538053,5.8959694,5.9039345,5.2599773,5.49055,11.433295,11.432425,10.603167,11.580429,5.152531,7.6681843,7.0192866,6.9796886,9.0729885,5.036452,7.5654182,6.882682,6.234211,5.768,5.479502
CCOC(=O)c1ncn2c1C1CCN1C(=O)c1ccccc1-2,0.8867924528301887,0.990758640215441,7.529051472261254,6.645523348390518,5.893877193106738,5.953065277355248,0.7867217,5.0309916,5.0953407,5.85528,5.178522,11.571223,11.312371,10.656262,11.563227,6.4259515,8.371104,6.3552237,6.358872,8.131535,4.7819686,8.225447,8.916964,8.1598835,5.016761,7.0095487
CCCN(CCC)Cc1nc(-c2ncn3c2CN(C)C(=O)c2ccc(F)cc2-3)no1,0.875,0.9768144606926092,6.637189838378088,6.606515242746713,6.36680194797949,6.27561390175172,0.73252636,5.172388,6.112385,5.43301,5.105432,11.563283,11.3070965,11.481855,11.283988,6.668366,7.581958,6.7118397,8.114773,8.869816,7.056485,7.9800453,8.311145,8.890772,7.3488994,6.628931
C#Cc1ccc2c(c1)-n1cnc(C(=O)OCC)c1CN(C)C2=O,0.8571428571428571,0.9380423621800617,7.356915606273032,6.982998076135507,6.659778230652192,6.347018270118798,0.8617452,6.147175,5.813368,5.931915,5.473604,11.690365,11.431073,11.321248,11.453886,6.3859515,7.8568296,6.8175745,7.252783,6.5866737,7.0765724,7.5624475,7.9427843,7.9012527,5.96464,4.9734426
O=C1CN=C(c2ccccc2Cl)c2ccc([N+](=O)[O-])cc2N1CC1CC1,0.8545454545454545,0.5840412190195686,6.993715905306323,6.616278373324017,6.0231792808482805,5.946445832004015,0.73414326,5.7711368,5.4453173,6.0363836,5.4784517,11.553743,11.333085,10.965539,11.567474,5.9490685,7.895516,6.632414,7.687496,8.034399,6.0646534,7.1187496,6.892348,8.033541,5.2301188,6.790303
CCOC(=O)C1N=C(c2c(F)cccc2F)c2cc(Cl)ccc2N(C(=O)NC)C1=O,0.8524590163934426,0.9934513472847907,7.995930519173484,7.750187367735522,8.05101287061486,7.847282768458109,0.91357917,6.320707,6.0537853,6.5383387,5.245828,11.691643,11.531492,11.194957,11.961182,5.5514445,8.057362,6.1094418,6.3345675,8.775599,5.21732,7.00443,7.1507316,6.831572,4.244556,7.002753
CN1Cc2c(C(=O)OC(F)(F)F)ncn2-c2ccc(N3CCCCC3)cc2C1=O,0.847457627118644,0.7179086973947121,7.658796069364328,7.273548211928367,6.927240524827115,6.83145436449874,0.89745015,5.1808558,5.9493575,5.693329,5.4400425,11.68271,11.404305,11.325085,11.440971,5.769047,7.229562,6.399932,7.942216,8.757963,7.2778616,7.524025,6.669038,7.656267,7.399311,7.150267
CN1C(=O)CN2CCc3ccc(Cl)cc3C2c2cc(Cl)ccc21,0.8444444444444444,0.32348462436299363,7.459435828516924,6.898662126690543,6.3070260372086,6.101646807447114,0.8397457,5.811528,5.453154,4.9034214,5.475931,11.548359,11.221545,10.591637,11.442662,5.3431463,7.304268,6.9718328,7.772567,8.904352,4.9340096,7.7969723,8.604791,6.1717205,5.939081,5.597404
CN1C(=O)CN=C(c2c(F)cccc2Cl)c2cc(Cl)ccc21,0.8444444444444444,0.9970769147040218,7.512725079812106,7.043534480419491,7.003822378182043,6.736016628982586,0.8729906,5.65408,5.827718,5.770765,5.3420963,11.6388855,11.469991,10.870333,11.444107,5.185992,8.080484,7.329696,8.02261,9.2564945,6.7551117,8.349924,7.4918313,6.9387093,4.5613213,5.0557237
