smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active,GAT_GCN_Davis,GATNet_Davis,GCNNet_Davis,GINConvNet_Davis,GAT_GCN_KIBA,GATNet_KIBA,GCNNet_KIBA,GINConvNet_KIBA,GATNet_BindingDB_pIC50,GATNet_BindingDB_pKd,GCNNet_BindingDB_pKd,GCNNet_BindingDB_pKi,GINConvNet_BindingDB_pKd,GINConvNet_BindingDB_pIC50,GINConvNet_BindingDB_pKi,GAT_GCN_BindingDB_pKd,GAT_GCN_BindingDB_pKi,GAT_GCN_BindingDB_pIC50,GCNNet_BindingDB_pIC50
CC(C)C(=O)Nc1ccc([N+](=O)[O-])cc1C(=O)c1c(Cl)cccc1Cl,0.660377358490566,0.15855134861578263,6.874804604421279,6.952064201034836,5.7128469827281405,5.2082814996341815,0.7383212,5.848564,6.0135646,5.415001,5.5490117,11.886088,10.447492,10.710569,11.809068,5.4086885,8.50285,6.409113,7.6138525,7.954194,6.22018,7.772205,8.910679,6.053518,4.545233,7.107554
O=C(Nc1cccc(Cl)c1)Nc1ccc([N+](=O)[O-])cc1C(=O)c1ccccc1Cl,0.6428571428571429,0.2367967736444434,6.533626864309976,6.082517271675155,5.472372108161533,5.331753712832041,0.5025045,5.33416,5.6930313,5.058861,5.4531436,11.643297,11.258153,10.950166,11.632965,5.5001183,8.020138,6.3942165,8.186388,7.901531,6.3813004,7.8603253,7.5140653,6.335482,6.0635953,5.797787
O=C(Nc1ccc([N+](=O)[O-])cc1C(=O)c1ccccc1Cl)c1ccc([N+](=O)[O-])cc1F,0.6363636363636364,0.5,6.012301652938762,5.300269857495728,5.238839924974061,4.912214895237127,0.19539538,5.646722,5.157383,5.035941,5.511231,11.47197,10.629744,10.946492,11.73032,5.5557394,8.451945,6.9545693,8.186541,8.205442,5.885877,6.512224,7.8567224,6.748952,4.8450866,7.1737175
CCOC(=O)N1CCc2ccc(Cl)cc21,0.6,0.7461365088440742,6.413587154146862,5.465019987210793,5.4910566724131,4.746885100106328,0.28994688,5.4079475,5.8534045,5.6993284,5.2416906,11.483788,11.217047,10.5293865,11.375215,5.1823344,7.6460876,5.5066795,5.3988385,8.840082,5.3805294,6.6517334,6.954676,7.443389,4.0593452,4.7959547
CC(N)C(=O)Nc1cc([N+](=O)[O-])ccc1NC(=O)c1ccccc1,0.5818181818181818,0.20178127821268613,5.959895198855075,5.629642094124471,5.1664830992793656,4.497719377361096,0.2621843,5.9094963,5.799798,6.012562,5.670088,11.752476,11.582331,11.540413,12.030889,5.036924,7.9189386,6.3829536,7.019598,7.92877,4.84851,7.6762123,7.1088114,6.132339,4.9950495,6.8935924
O=C(c1cc([N+](=O)[O-])ccc1O)c1ccccc1Cl,0.58,0.20797781388301806,6.017805110141253,5.401026185863402,5.2554057290166485,4.729129253762361,0.22328454,5.6527734,5.117526,5.3742037,5.6762867,11.554273,10.947715,10.487093,11.279906,5.9741035,8.614153,6.4576616,5.84411,8.706931,6.8844647,7.433561,6.54739,6.8361692,4.161215,4.989129
Cc1cc(Cl)ccc1NC(=O)c1cc([N+](=O)[O-])ccc1C(=O)c1ccccc1Cl,0.576271186440678,0.40223259034054243,6.1663147061297,5.55531176711117,5.310225333110704,4.5190973205578215,0.25851393,5.953805,5.618001,5.434538,5.744376,11.923807,10.900041,10.6747875,11.660441,5.457972,7.4476204,7.0014024,7.8357267,8.870741,6.713094,7.574332,7.498159,6.0252056,5.2999063,5.827017
CC(C)N=C(O)c1ccc([N+](=O)[O-])cc1C(=O)c1ccccc1Cl,0.5714285714285714,0.3747181814659253,6.05262032275072,5.689977349503206,5.195530320040167,4.726235255009993,0.25352618,5.881725,5.981633,5.61073,5.432873,11.742392,10.773573,10.686328,11.647207,5.8117666,8.507632,6.505992,7.102519,8.280865,6.313732,7.346662,8.725191,6.9534564,4.39894,6.77235
CC(O)C(=O)Nc1ccc([N+](=O)[O-])cc1Cl,0.5686274509803921,0.21141768868012012,5.79156310851856,4.843675268335787,4.508553725004337,3.594033237265056,0.06677632,5.659277,5.8559847,5.1488767,5.4307113,11.5073185,10.843981,10.575957,11.715334,5.0265794,7.5728655,6.397557,7.3302927,8.4245,5.761913,6.7985106,7.019326,5.6468725,4.5559626,5.354454
O=C(NNC(=O)c1ccccc1Cl)Nc1ccc([N+](=O)[O-])cc1Cl,0.5636363636363636,0.44852136179447,6.040962394515926,5.287256803711217,5.166694359779559,4.910693504582803,0.1841011,5.0743923,5.489225,5.7164745,5.286717,11.609579,10.824597,11.53081,10.986735,5.344022,7.851165,5.8710546,6.2776055,8.523247,4.574769,7.1914854,7.3773336,7.7884088,4.5746765,6.159244
CC(=O)Nc1ccc(Cl)cc1C(=O)c1ccc([N+](=O)[O-])cc1Cl,0.5636363636363636,0.5298287146274859,7.010869495542407,6.007614815408261,5.627486844333895,4.840199680261872,0.5382613,5.9012575,5.8479176,5.1696224,5.2968163,11.681031,11.342036,10.866279,11.938889,5.598539,7.5341816,6.292901,7.5460978,8.5385685,6.7412615,7.041051,6.255287,6.185691,4.7791824,6.558877
O=C(Nc1ccccc1[N+](=O)[O-])c1ccc([N+](=O)[O-])cc1C(=O)c1ccccc1Cl,0.5614035087719298,0.39446877737034675,6.209078901836208,5.645623571434345,5.234079814022696,5.221973903131351,0.33283478,5.505933,5.5858507,5.197504,5.698434,11.777385,10.408823,11.008779,11.398452,5.6185284,8.205372,6.8130236,7.8157654,7.9838114,6.1553226,6.585736,6.86028,6.4450417,5.125821,6.0756826
