smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active,GAT_GCN_Davis,GATNet_Davis,GCNNet_Davis,GINConvNet_Davis,GAT_GCN_KIBA,GATNet_KIBA,GCNNet_KIBA,GINConvNet_KIBA,GATNet_BindingDB_pIC50,GATNet_BindingDB_pKd,GCNNet_BindingDB_pKd,GCNNet_BindingDB_pKi,GINConvNet_BindingDB_pKd,GINConvNet_BindingDB_pIC50,GINConvNet_BindingDB_pKi,GAT_GCN_BindingDB_pKd,GAT_GCN_BindingDB_pKi,GAT_GCN_BindingDB_pIC50,GCNNet_BindingDB_pIC50
CC1(C)CC(=O)Nc2ccccc2-c2cccc(F)c2C1=O,0.5217391304347826,0.41875546407293945,7.173585975791313,7.0135221655660205,6.39747003105542,6.07711760413863,0.85235745,5.7365513,5.6546297,5.6386914,5.6215005,11.508149,11.438859,10.522498,11.534083,5.1617723,8.357818,6.664753,6.0448046,8.258142,6.3967752,7.1009774,6.2772818,6.9671583,4.945986,6.607734
CC(C)C(=O)NC(=O)c1cc([N+](=O)[O-])ccc1Cl,0.5,0.11998514287715253,5.798748563901355,5.386925816426863,5.116802489062593,4.068113478642631,0.18443516,6.085933,5.908318,5.4846635,5.2658815,11.326582,10.648521,10.543166,11.390597,4.9444466,7.446004,6.28576,6.0999603,8.568811,5.216972,6.0551066,9.02849,6.1612935,4.887224,6.565364
COC(C(=O)Nc1cc([N+](=O)[O-])ccc1Cl)C(N)C(C)C,0.4915254237288136,0.1797022383910321,5.744030576816483,5.799621988467839,4.924847466561123,4.48573732276214,0.301812,6.2419457,6.2231426,6.54856,5.434922,11.671381,10.82099,11.189901,11.722818,4.9193335,7.751999,6.003935,6.964364,8.73814,5.2218623,7.4376497,9.07234,7.619311,4.823621,6.7598696
CN1CC(=O)C(=O)N(c2ccccc2)c2ccc(Cl)cc2C1=O,0.4897959183673469,0.87959443196509,6.333171762329593,5.337881106901712,5.134791705537239,4.776554619167421,0.25434065,6.0461283,5.988943,5.433605,5.474757,11.498693,11.404735,10.480482,11.4777155,5.493365,7.637684,6.155305,6.039415,7.9981213,5.6372175,6.7992945,7.3545017,5.8069043,4.706046,5.769246
NC(=O)N1CCC(c2ccccc2)c2cc(Cl)ccc21,0.4821428571428571,0.22799043869061414,6.387972571039835,5.926577454837122,5.846900938948592,5.641869489274567,0.49147555,5.6654882,5.443618,5.5062995,5.791107,11.493914,11.49714,10.462022,11.49681,5.30396,7.7030125,6.9864635,7.371592,8.581908,5.173607,7.951337,9.222349,7.0405693,6.720837,6.065784
CCOC(=O)N1CCN(Cc2ccccc2)c2ccccc21,0.4727272727272727,0.5448052546319199,5.969112048422238,5.480854892524418,5.370368505730162,4.288657835071922,0.20505206,5.770096,5.950103,5.5453253,5.4309273,11.504656,11.395324,10.51325,11.095084,4.3143187,8.139263,5.5389485,6.2003264,8.077353,4.2327023,6.1961303,6.6775002,7.237969,5.022382,5.29621
CC(C)NC(=O)C(=O)C(C(=O)Nc1ccc([N+](=O)[O-])cc1Cl)c1ccc(N)cc1,0.46875,0.27622269370376795,6.032663856151866,5.881423889905885,5.172322593623088,5.190333678283448,0.38242692,6.0076246,5.8965845,6.5366116,5.116251,11.704391,11.262664,10.829699,11.655872,4.567706,7.4261475,6.391574,7.145501,8.884312,4.449764,6.677529,9.038934,7.344719,6.2670355,6.606186
CC(C)NC(=O)C(=O)Nc1ccc(-c2ccc(N)cc2)cc1C(=O)c1ccccc1Cl,0.4677419354838709,0.18310980928349185,7.099409199401888,6.384970375907276,6.252783053925149,6.0486880757013335,0.683098,6.063962,6.032118,6.565016,5.2708535,11.708072,10.691918,10.884452,10.832655,5.4502845,8.009978,6.456717,6.9473085,8.676325,6.4507484,7.448432,9.185968,7.532681,4.7203994,6.585615
CC(C)NC(=O)c1ccc([N+](=O)[O-])cc1-c1ccccc1Cl,0.4576271186440678,0.2715242204342978,7.293087278922485,6.5811548950777965,6.467829869733498,6.231630673838482,0.7690272,5.9235177,6.1511607,6.3853655,5.446024,11.609341,10.949285,10.884558,11.46756,5.5669923,7.8506613,6.3123617,7.4363256,7.335683,5.373483,7.006689,8.804974,6.6722007,5.5553656,6.594678
O=C1CCNc2ccc(Br)cc2N1c1ccc2[nH]ccc2c1,0.4545454545454545,0.7561733242078068,7.23348979928404,6.2947562480727495,5.861885748892811,5.890631254025554,0.6793201,5.945607,5.1671114,5.9421806,5.64571,11.791847,11.53567,11.815637,11.548327,5.85082,7.8954883,6.563716,6.88853,8.2725315,5.7506666,7.5296907,8.944736,6.241804,7.445731,6.6860642
CC(N)C(=O)Nc1cccc(Cl)c1Br,0.4528301886792453,0.03185257600607082,6.006199383610664,5.597929936109015,4.71368507899706,4.1081531425667,0.22932252,5.9360404,5.895664,6.1535964,5.323344,11.725965,11.929872,11.797072,11.787864,5.0397096,7.507552,6.5162015,7.615209,8.8526945,5.256425,7.451481,8.818295,6.592656,5.3371954,6.76319
CCOC(=O)N1CCCN(C(=O)N2CCc3ccc(Cl)cc32)C1,0.4516129032258064,0.6769913339787226,6.8870449299754055,6.158898272213779,5.621274910600393,5.679463182573015,0.54419374,5.7638474,5.7934637,5.7648163,5.5918174,11.311395,11.172317,10.747578,11.386808,5.0281415,7.6113524,5.6483774,7.151629,8.53209,4.491194,6.2828465,6.891015,6.6285353,6.116103,5.883228
CC(N)C(=O)Nc1ccc(Cl)c(Cl)c1Cl,0.4509803921568627,0.03525295543141511,5.738158891135465,4.684025731669138,4.592096721231173,4.526978928828487,0.10955004,5.9852433,5.771389,6.0002413,5.583667,11.573845,11.504005,11.387844,11.915402,4.589142,7.77211,6.440073,6.5179367,8.885053,5.242943,8.632118,8.897575,7.0936203,7.754933,6.7984457
CC(C)C(=O)NC(C)C(=O)C(=O)Nc1ccc([N+](=O)[O-])cc1Cl,0.45,0.23355717182401026,6.452197624072208,5.724827063575232,4.923237845471494,4.11863937385315,0.35253212,5.923072,5.8799033,5.3813677,5.273799,11.838987,10.700607,10.821188,11.311278,4.7929707,7.4570923,6.2367954,7.5623636,8.526626,5.112862,6.4354115,8.716082,6.7169075,6.2629933,6.406147
CC(N)C(=O)NCCNC(=O)c1ccccc1Cl,0.4363636363636363,0.033716674414759375,5.588227388413203,4.461130424672359,3.8748379024442783,3.716965637534269,0.042293213,5.9731207,5.6138287,5.6964865,5.450821,11.545271,11.297338,10.432365,11.383259,4.4532084,7.8912296,6.8428392,6.4519153,8.251642,5.5323944,6.936471,8.366476,6.6950684,3.911141,5.7811937
CCOC(=O)c1ccnc(C(=O)N2CCCC2c2ccccc2)c1,0.4285714285714285,0.8748663381791159,6.92357322939242,6.014782221415032,5.2806568908884985,4.986943785694582,0.4987008,5.164425,5.4154415,5.7327337,5.741556,11.531915,11.312202,10.474602,11.631065,6.3377995,8.3432,6.410013,5.8987246,8.1401615,5.762907,6.7256575,9.234711,6.988058,4.734225,5.8855643
COC(=O)N1CCC(=O)Nc2cc(Cl)ccc21,0.423728813559322,0.6637001978970585,5.893027676255014,5.308326365655249,5.314619394555404,4.380539687093159,0.16124916,6.0562105,6.1450233,5.7930613,5.4973087,11.536427,11.1012745,10.481749,11.191274,5.0876637,8.207469,5.295293,6.0103846,8.594928,4.3904905,6.4419546,6.486429,5.7817397,5.017066,4.563368
COc1ccc(-c2ccnc(NCc3cccc(OC)c3)n2)cc1,0.421875,0.951890678167835,7.269195554369596,6.724697375036336,6.129026755372525,6.02642073317154,0.7989679,4.9856377,5.847718,5.1586523,5.2165155,11.890464,11.137449,10.528606,11.297258,6.4630227,9.121233,5.869977,7.2290106,9.233582,5.8783813,6.235428,6.5646696,6.6848226,6.147834,6.317517
CC(C)C(=O)NC(C)c1ccc([N+](=O)[O-])cc1Cl,0.4210526315789473,0.28317845506659345,5.787739985609109,5.389341464012262,5.087422961097041,4.2646621241013225,0.2010859,5.9189677,5.9122105,5.4272337,5.411866,11.6908,10.904621,10.617624,11.395543,5.0159607,7.5120726,6.2517905,6.51833,8.34045,5.9986515,8.265537,8.965552,6.584404,4.764718,6.515156
Cc1ccc(-c2ccc(CNC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1C(=O)c1ccccc1Cl,0.4202898550724637,0.5489880205083624,6.869429658886448,6.384599620133184,5.693925347919417,5.856969244745374,0.6600805,5.850217,5.564983,5.515495,5.4199057,11.443528,10.772356,10.792919,11.806845,5.554815,7.7191896,6.448044,7.1545806,6.937872,6.267643,7.6579285,9.558587,7.679847,5.654344,7.323651
Cc1ccc(Cl)cc1N1CCNc2ccccc21,0.42,0.11865454532475399,5.927593664482778,4.532926276229746,4.632970062636287,4.342387448487785,0.10237008,6.354633,6.081158,6.119975,5.5984287,11.638979,11.241741,10.459491,11.483701,4.726124,7.532255,6.130108,7.993657,9.443629,5.3622985,8.341487,7.1437535,6.256006,7.493524,6.5774455
CCOC(=O)N1CCN(C(=O)c2ccccc2)C1=O,0.4181818181818181,0.6056437850345898,6.412424668819831,5.3637567256983685,5.187367309425201,4.68293432658902,0.22517832,5.840223,5.9214544,5.6201982,5.578558,11.25467,11.405361,10.511919,11.5742445,4.3359675,8.076502,5.279076,6.6446676,7.8538527,4.6505213,5.65849,7.5353584,4.8410835,4.7315464,7.022812
Cc1cccc(-c2cc(C(F)(F)F)ccn2)c1,0.4166666666666667,0.9691030993920919,6.912426106690836,5.660050403425164,5.549785522747811,5.314459489830455,0.5012893,5.10703,5.0865903,5.4649982,5.5059342,11.837665,11.587805,10.709091,11.422677,5.883628,7.4587517,5.4416194,7.392478,8.523746,6.7755218,7.3296723,6.745498,6.998576,3.8225286,5.587623
CCc1ccc(N)cc1-c1ccccc1Cl,0.4166666666666667,0.2610722613496294,6.919841251661553,6.1540782377070125,6.084657837304578,5.88513400832991,0.5981891,5.631463,5.926342,5.080678,5.358883,11.522267,11.7527,11.348566,11.503901,5.2602115,7.9962654,5.8840237,6.7963114,8.846088,6.5818863,7.537353,8.845703,6.822522,5.0085974,6.3319902
CN1C(=O)Cc2ccccc21,0.4146341463414634,0.11694547633033527,6.30651619144425,5.190464992268458,5.298015879885424,4.102176099878768,0.18612328,5.817643,5.232414,5.391666,5.443446,11.480394,10.294454,10.413686,11.409256,4.7894416,7.5744505,6.553611,6.4491086,7.9401383,5.26622,7.698514,6.0407505,6.8957453,4.04974,5.214653
