smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active,GAT_GCN_Davis,GATNet_Davis,GCNNet_Davis,GINConvNet_Davis,GAT_GCN_KIBA,GATNet_KIBA,GCNNet_KIBA,GINConvNet_KIBA,GATNet_BindingDB_pIC50,GATNet_BindingDB_pKd,GCNNet_BindingDB_pKd,GCNNet_BindingDB_pKi,GINConvNet_BindingDB_pKd,GINConvNet_BindingDB_pIC50,GINConvNet_BindingDB_pKi,GAT_GCN_BindingDB_pKd,GAT_GCN_BindingDB_pKi,GAT_GCN_BindingDB_pIC50,GCNNet_BindingDB_pIC50
[H]c1ccccc1C12OC(C)=CC(=O)N1CC(=O)N(C)c1ccc(Cl)cc12,1.0,0.6821451931557809,7.517893283073319,6.9410999231406505,6.247551424721656,6.412115518420446,0.8587141,5.896781,5.852916,5.60331,5.430896,11.487842,11.578914,10.939487,11.739816,4.960094,7.656062,7.388537,8.015192,8.11237,5.318512,6.4711266,8.886555,6.4052453,4.8757343,6.835857
CN1CCN(C=C2N=C3CN=C(c4ccccccccc4)c4cc(Br)ccc4N3C2=O)CC1,1.0,0.8809506753273685,7.678617267826057,7.6318065282513725,7.401274597784923,7.059386052596089,0.9076257,6.472497,5.695685,6.0749674,5.430151,12.178656,11.251214,11.553355,12.078485,4.720111,7.4113903,7.1421843,7.506241,7.9620695,4.9556704,6.4906373,8.96884,6.458972,5.609749,5.5059633
CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccc(N3CCCCCC3)cc2C1=O,1.0,0.5157363719836551,7.508636377984573,7.306388480467959,6.949187986901404,6.72216711662777,0.8950934,5.1641245,5.7135687,4.9930763,5.397732,11.835712,11.221051,10.509085,11.443429,5.415323,7.178748,6.5526047,8.1469145,8.131088,6.673613,7.8136783,6.5326567,7.648037,6.101683,7.183186
CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccc(N3CCCCCCC3)cc2C1=O,1.0,0.5157363719836551,7.4299969537455794,7.237191518809277,6.886009864987457,6.683586356852981,0.8886906,5.169153,5.7135687,4.9764185,5.4108715,11.845154,11.221051,10.512299,11.484046,5.415323,7.178748,6.540462,8.297917,8.286555,6.8353677,7.7315016,6.5627804,7.568803,6.2927966,7.217904
O=C1CN=C(c2ccccc2)c2c(sc3c2CCCCCCC3)N1,0.975609756097561,0.3415282976178573,6.991378533153843,6.7694256808293165,6.06188977975302,6.009326897133418,0.7847017,4.9343624,5.9614744,5.022133,5.601963,11.534573,11.638433,10.567252,10.972399,4.7167625,7.733619,6.801667,7.7744436,7.760559,5.331439,7.141496,7.281764,8.488727,4.9763794,5.0454273
O=C1CN=C(c2ccccc2)c2c(sc3c2CCCCC3)N1,0.975609756097561,0.3415282976178573,7.01871354319667,6.801981154000827,6.003927612903767,6.009326897133418,0.7854291,4.934406,5.9614744,4.985228,5.5863476,11.496781,11.638433,10.692276,11.111635,4.7167625,7.7336187,7.0029445,8.107278,7.549377,5.017363,7.3157263,7.701598,8.023345,4.9474483,4.8998566
CCCN(CCBr)Cc1nc(-c2ncn3c2CN(C)C(=O)c2cc(F)ccc2-3)no1,0.9523809523809524,0.9801430501303723,7.021200760136931,6.775602823578227,6.558623607660429,6.474607141263301,0.84231746,5.1746626,5.853939,5.8158536,5.0513105,11.553901,11.52418,11.458,11.296333,6.21412,7.4384212,7.2466817,7.7648506,8.808755,7.2002587,8.186237,8.8310375,8.804783,6.6224375,6.860256
CCCN(CC)Cc1nc(-c2ncn3c2CN(C)C(=O)c2cc(F)ccc2-3)no1,0.9516129032258064,0.9812067960860086,7.005161340353271,6.615033421934748,6.403308394417462,6.320342014885284,0.7994945,5.1733274,5.968732,5.4785767,5.06214,11.5353365,11.228363,11.468892,11.30239,6.713141,7.902072,6.777497,8.004793,8.688816,7.1132903,8.082237,8.452448,9.192432,7.2888603,6.967148
O=C1CN=C(c2ccccc2)c2c(sc3c2CCC3)N1,0.951219512195122,0.34993636313977083,6.931799894486183,6.762543374036649,6.039934111876297,6.009326897133418,0.77293366,5.141327,5.95855,4.929055,5.568464,11.499407,11.286818,11.291397,11.496893,4.9184456,7.7278028,6.984836,8.194899,7.3119392,4.7306294,7.3357296,7.345195,7.7582545,4.790717,5.0826344
CC(C)(C)OC(=O)c1ncn2c1C1CCCCN1C(=O)c1c-2ccc(F)c1Cl,0.9482758620689656,0.9902331040833002,7.431717687774309,7.137043611133442,6.88222744656161,6.6493725245263695,0.8788678,4.9545727,5.5496006,5.359808,5.248748,11.466745,11.124741,10.568208,11.298051,6.4230876,7.3255806,7.2358747,8.043971,8.650313,5.86017,7.4073524,7.605167,8.325252,7.0523844,7.8795686
