smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active,GAT_GCN_Davis,GATNet_Davis,GCNNet_Davis,GINConvNet_Davis,GAT_GCN_KIBA,GATNet_KIBA,GCNNet_KIBA,GINConvNet_KIBA,GATNet_BindingDB_pIC50,GATNet_BindingDB_pKd,GCNNet_BindingDB_pKd,GCNNet_BindingDB_pKi,GINConvNet_BindingDB_pKd,GINConvNet_BindingDB_pIC50,GINConvNet_BindingDB_pKi,GAT_GCN_BindingDB_pKd,GAT_GCN_BindingDB_pKi,GAT_GCN_BindingDB_pIC50,GCNNet_BindingDB_pIC50
CSc1c(Cl)nc(-c2ccc(NC(=O)Nc3ccc(N4CCOCC4)cc3)cc2)nc1N1CCOCC1,0.9090909090909092,0.9999998122878642,7.352112398168219,6.895970649120194,5.775537833372982,5.981307564372327,0.81081885,5.855419,5.0074015,4.863739,4.935609,11.502229,11.393389,12.484165,13.013308,6.7030983,5.391102,6.380885,7.516285,6.283534,7.1049085,7.2929907,5.153634,6.6981707,6.9528685,6.8500457
COC1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN6CCCCC6)nc5)cc4c32)C1,0.8985507246376812,0.012517455823519655,7.904375221251419,5.56130622537771,5.68922131654938,5.284649893836714,0.51133674,4.9801726,5.0124254,5.1055517,5.1367865,12.111204,12.102189,10.988214,12.070855,5.514168,5.004965,4.8886614,6.9627614,7.7470264,5.4812145,7.680604,6.845796,8.000062,5.5760517,5.5948496
COCCOCCN1CCN(c2ncnc(C)c2C#Cc2ccc(N)nc2)CC1,0.8888888888888888,0.9898436935639358,7.486526993386965,7.1631800785604,6.509062167115139,6.418516231380617,0.88562334,5.1252604,5.191122,4.8750725,5.1571474,12.417304,11.9416275,12.002457,11.957819,7.638396,6.3561897,6.807702,6.922435,3.8512015,7.211155,5.729717,7.831427,6.5729723,6.996821,7.283513
COc1ncc(-c2ccc3ncc4c(c3n2)n(C2CCN(C(=O)CO)CC2)c(=O)n4C)cn1,0.8888888888888888,0.9999977009301976,8.187031781337542,7.163615625368285,5.775537833372982,5.703989250435599,0.8586289,5.0152254,4.989952,5.459215,5.8996706,11.456432,11.753499,10.507879,13.410781,6.4062657,5.830094,5.6249523,8.63574,7.593007,6.8648033,8.048835,7.62554,8.10986,7.485729,7.5236588
CCCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,0.8857142857142857,0.9999924126549262,7.839983183047759,7.687513337224565,6.8521049483953504,6.996178466076772,0.9280402,4.954603,5.02148,4.955886,5.641411,13.1603,11.911999,14.18239,13.686436,7.759592,5.213544,5.3601832,7.8997803,6.2519083,8.648814,7.5582895,7.446199,8.445112,9.022458,8.77021
CCCn1nc(-c2ccc3oc(N)nc3c2)c2c(C)nc(N)nc21,0.8846153846153846,0.970349301247068,6.630348166145794,5.67935523828655,5.359804996866535,5.401825746015392,0.38701153,4.956153,5.6887407,5.7284374,5.4977827,11.720774,11.729033,11.50419,11.504792,5.2234554,6.3026505,5.4987383,7.927251,6.6202254,6.710839,7.725606,8.347293,7.6346292,5.1445556,6.013532
CCCN1CCN(C(=O)c2ccc(-c3ncnc(C)c3C#Cc3ccc(N)nc3)cc2)CC1,0.8833333333333333,0.9999966261691687,7.652971016395686,7.624968351198985,6.816153850544488,6.90353947277537,0.9277009,5.033272,5.0143437,4.9014406,5.014446,12.514512,11.889381,12.212506,11.676369,8.094598,5.3250065,5.7848835,7.1340823,5.995184,7.640722,6.804316,7.974461,7.942253,8.136932,7.968235
CCc1ncnc(-c2ccc(C(=O)N(C)C)c(C)c2)c1C#Cc1ccc(N)nc1,0.8793103448275862,0.9999971132803375,7.975842853068844,7.96805878845417,7.422118854921543,7.340615344073494,0.97715294,5.0366488,5.5792203,4.99459,6.2829447,12.166253,11.920175,11.640734,11.079478,7.88101,6.73839,6.8080955,6.110058,5.92919,8.023649,7.3365955,7.2604246,7.2356663,8.32116,8.1191025
CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1,0.8769230769230769,0.9999929943344099,8.198507069426203,7.909069411856423,6.185638837370616,6.772218694370104,0.96314865,5.016506,5.1002855,4.9111757,4.988638,12.997244,11.599717,11.287783,14.243838,8.840326,5.4709034,5.3430977,6.1118717,6.786253,8.600985,7.76781,7.6156445,7.215868,8.728139,8.585849
CC(N)n1nc(-c2cccc3[nH]ccc23)c2c(N)ncnc21,0.875,0.8082676516858067,7.03327569519283,6.564363586595123,5.753233949625256,5.928352455007197,0.7308617,5.0102243,7.218858,6.414879,5.758143,11.541603,11.624906,11.615564,11.2863865,6.3269854,7.326556,7.3843913,6.7514863,8.658313,6.8644567,6.8203044,8.200214,7.436878,7.4335127,6.231742
