smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active,GAT_GCN_Davis,GATNet_Davis,GCNNet_Davis,GINConvNet_Davis,GAT_GCN_KIBA,GATNet_KIBA,GCNNet_KIBA,GINConvNet_KIBA,GATNet_BindingDB_pIC50,GATNet_BindingDB_pKd,GCNNet_BindingDB_pKd,GCNNet_BindingDB_pKi,GINConvNet_BindingDB_pKd,GINConvNet_BindingDB_pIC50,GINConvNet_BindingDB_pKi,GAT_GCN_BindingDB_pKd,GAT_GCN_BindingDB_pKi,GAT_GCN_BindingDB_pIC50,GCNNet_BindingDB_pIC50
Cn1c(=O)n(C2CCNC2)c2c3cc(-c4cnc5[nH]ccc5c4)ccc3ncc21,0.8666666666666667,0.9937353368496141,7.9466459075011,7.374501932674456,6.752220775122603,6.86291186532235,0.8987256,4.9946804,4.997324,5.639454,5.331586,12.728743,11.736734,13.092175,11.442365,6.3606853,5.192244,4.77746,7.9011297,8.497907,5.9704986,7.871219,5.0287585,7.605362,6.8439,7.198584
CC1COCCN1c1nc(N2C(=O)OCC2C)nc2nc(-c3ccc(CNS(C)(=O)=O)cc3)ccc12,0.8333333333333334,0.9916187806799849,7.473050162438779,6.7261455322328825,6.587135678324622,6.493689472770657,0.8169717,4.99368,5.650105,5.592626,5.3096266,12.409055,12.144397,11.532472,11.653134,6.6325536,7.587,4.7909136,5.0072565,7.7955647,7.3651514,7.1923704,8.646255,6.8380995,6.76904,7.003288
Cn1c(=O)n(C2CCNCC2)c2c3cc(-c4cnc5[nH]ccc5c4)ccc3ncc21,0.8333333333333334,0.9999879201007298,7.96656456228037,7.354343061714133,6.714253946447562,6.819535938691956,0.8950945,5.0074086,5.005416,5.2909775,5.305623,12.820911,11.746767,13.075737,12.129444,6.4194965,5.286026,4.831006,7.8583097,8.797165,5.9730015,7.9089375,5.8402147,7.4433594,7.078659,7.2980223
Nc1ccc(C#Cc2c(CO)ncnc2-c2ccc(C(=O)N3CCCO3)c(F)c2)cn1,0.8208955223880597,0.994341477402751,7.652018678239765,7.105685405834788,6.029193692040824,6.20423147239883,0.87535775,4.952049,5.04447,5.469118,5.8208513,11.566771,11.854206,11.430066,11.037269,8.057599,5.490203,6.3818645,6.8315854,4.294176,8.197291,7.681097,6.8468227,7.678772,8.423221,8.085378
CC1COCCN1c1nc(N2CCOCC2C)c2ncc(-c3ccc(N)cc3)nc2n1,0.8076923076923077,0.9643942654822588,7.529852833396863,7.131912774801294,7.000567915803703,6.894837533281183,0.88467884,4.99769,6.4141746,5.801789,5.115902,12.440905,12.50372,13.131677,10.795838,6.633037,8.127564,5.030025,8.11408,7.7274275,7.294279,8.088419,8.744812,6.9428015,6.825645,6.5735083
CCc1ncnc(N2CCN(C(=O)c3ccc(C)o3)CC2)c1C#Cc1ccc(N)nc1,0.8064516129032258,0.9999841694499614,7.548573216156173,7.299135768124353,6.649891722454373,6.755860174103085,0.89921105,5.056187,5.002418,4.902792,6.224271,12.398482,11.822435,11.673468,11.698739,8.273858,5.4935412,5.621331,7.723632,5.0809536,7.246764,5.911465,8.026424,7.310432,7.7291555,7.304082
COc1ccc(-c2ccc3ncc4c(c3c2)n(C2CCN(C)CC2)c(=O)n4C)cn1,0.8032786885245902,0.9268171494254003,7.4029550706229745,6.655405459181704,5.775537833372982,5.8289599718028,0.74520296,4.9877834,4.986911,5.061346,5.3809967,13.763243,12.243576,11.869331,12.051147,6.147087,4.811917,5.658711,8.070163,7.978659,6.649237,7.157628,6.642998,6.967162,6.7619247,6.7106113
Cc1ncnc(-c2ccc(C(=O)N3CCOCC3)c(F)c2)c1C#Cc1ccc(N)nc1,0.7761194029850746,0.9999993519543746,8.28951419786896,8.346319757201337,7.622820294245344,7.812493425594205,0.9923367,4.9699507,5.1952662,4.9033413,5.566186,11.706712,11.825762,12.672588,11.457108,8.026393,5.118268,7.333611,6.4123073,5.351718,8.022963,7.115366,8.525824,7.5214834,8.209366,8.2072315
CCc1nccc(-c2ccc(C(=O)N3CCC(Cn4ccnc4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,0.7692307692307693,0.9963590253967148,8.48692094960339,8.309787805149062,7.74804532702718,7.947368483976137,0.98621285,5.0008297,5.013326,4.906996,6.0154247,11.607781,11.77023,11.798861,11.563925,7.896147,5.1477404,5.618263,7.400929,6.413038,7.9446836,7.79881,8.865279,7.421522,7.989046,8.179049
CC1COCCN1c1nc(N(C)C2CCOC2)nc2nc(-c3ccc(CNS(C)(=O)=O)cc3)ccc12,0.7647058823529411,0.8885644866971417,7.309071279095965,6.753731078777198,6.610471497602243,6.55787310966051,0.8297326,5.143196,5.753071,5.6486506,5.3325925,11.752391,11.87299,11.592564,11.701242,6.5788007,7.9888763,4.8018904,4.699549,8.093262,7.4516873,7.696576,7.935435,6.454388,6.6191,7.3989425
CC1COCCN1c1nc(NC2CCOC2)nc2nc(-c3ccc(CNS(C)(=O)=O)cc3)ccc12,0.7647058823529411,0.942351038871253,7.177215942205352,6.713756236701642,6.798046667196681,6.610077050761012,0.81597316,5.028507,5.260602,5.1157813,5.301944,11.861983,11.783722,11.873409,11.50561,6.6613603,7.869862,5.0268917,7.217698,7.99653,7.288973,7.582019,8.008088,7.490784,6.8048053,7.124954
