smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active,GAT_GCN_Davis,GATNet_Davis,GCNNet_Davis,GINConvNet_Davis,GAT_GCN_KIBA,GATNet_KIBA,GCNNet_KIBA,GINConvNet_KIBA,GATNet_BindingDB_pIC50,GATNet_BindingDB_pKd,GCNNet_BindingDB_pKd,GCNNet_BindingDB_pKi,GINConvNet_BindingDB_pKd,GINConvNet_BindingDB_pIC50,GINConvNet_BindingDB_pKi,GAT_GCN_BindingDB_pKd,GAT_GCN_BindingDB_pKi,GAT_GCN_BindingDB_pIC50,GCNNet_BindingDB_pIC50
COc1cc(C(=O)Nc2ccc(C(=O)Nc3ccc(C(C)(C)C)cc3)cc2)cc(OC)c1OC,1.0,0.07365273917592838,5.995693865545473,5.413766579300872,5.316558551009284,4.431099791557079,0.17937356,4.926774,5.033495,4.8882055,5.131482,11.312976,11.582408,10.610585,10.702955,5.046772,4.213204,4.9506073,7.703856,5.9355984,5.779624,6.5834956,5.400351,6.981488,5.0232697,4.888928
Oc1ccc(CNc2ccc(COc3ccccc3)cc2)cc1,0.9090909090909092,0.002367621999564597,5.483697827562592,4.943001509240086,4.45663773386321,4.024267544722251,0.080518,7.0384483,5.4619246,5.008519,5.1659746,11.529253,11.783131,11.62122,11.414227,5.095167,3.5234697,2.977312,5.9733706,4.534424,4.911265,6.5703397,3.505469,6.2576556,4.988657,4.8537865
CCCOc1ccc(NC(=O)c2cc3c(C)nn(-c4ccccc4)c3s2)cc1,0.8571428571428571,0.17959288379910962,6.694378821987834,5.905155643164831,5.512789149342479,5.462895477136618,0.43597922,4.93672,4.986721,5.425069,5.3001804,11.384748,11.82194,11.57884,11.930619,5.4599833,5.668733,5.8355827,8.275913,7.430198,6.514661,7.353569,8.022806,7.508065,5.2466097,5.194961
COC(=O)c1ccccc1NC(=O)Cn1c(=O)n(-c2ccc(F)cc2)c(=O)c2ccccc21,0.8363636363636363,0.042395672593633825,6.195247258431628,5.554652991722527,5.21234314943629,4.82602148770058,0.25999537,4.9470167,4.9817595,5.092598,5.539054,11.298537,12.126599,10.971459,10.815147,4.766572,4.3268967,5.0937624,6.625852,4.7449603,6.2867703,6.376641,3.7827635,7.990266,4.6246,5.1627245
Cc1cccc(N2CCN(C(=O)c3ccc(CS(=O)c4ccccc4)o3)CC2)c1C,0.8181818181818182,0.004508724321802705,6.344730479807376,5.382186500185453,5.158433256913529,4.754192395567623,0.18690155,4.996941,5.067998,4.9641476,4.937306,10.419022,11.259322,10.39816,12.220271,5.0326576,4.7622623,5.188096,7.214265,4.9704175,5.230164,7.7437325,6.212982,6.9388685,4.6917877,5.0013556
CCCCOc1ccc(C(=O)N(Cc2cccs2)c2ccc(OC)cc2)cc1,0.8113207547169812,0.024924526269817615,6.228163532548579,5.055862793669073,5.292529871283216,4.615725139841179,0.1290773,4.9277177,4.994227,4.9455395,4.9820166,11.395324,11.77445,11.42809,11.936156,5.200623,4.13624,4.9913692,7.042305,5.319248,5.609312,6.8589873,7.7284436,6.7045226,4.9843893,4.903457
CCCOc1ccc(NC(=O)c2ccc(C(=O)Nc3ccccc3)cc2)c(C)c1,0.8085106382978723,0.025530780614733472,6.3339956729486175,5.401491422113974,5.287532283796868,4.510378227016967,0.18562844,4.9803257,4.9946685,4.907045,4.9728966,11.58828,11.744756,11.735898,11.785798,4.9821754,4.105346,4.908988,7.6225963,5.6038156,5.484464,5.882599,4.5779624,5.5864196,4.83852,4.986692
COc1cc(C(=O)Nc2ccc(C(=O)Nc3ccc(C(C)(C)C)cc3)cc2)cc(OC)c1O,0.8,0.23906496273651656,6.006658341211417,5.418102883835703,5.319400385757949,4.432329097637932,0.18146499,5.915657,5.0750666,4.895646,5.1869,11.735691,11.697364,11.789345,10.807995,5.2908225,4.1080613,6.4476724,7.4039164,6.1868424,6.158611,6.5707517,4.8871455,6.232745,5.3934035,4.9132304
COc1cc(C(=O)Nc2ccc(NC(=O)c3ccc(C(C)(C)C)cc3)cc2)cc(OC)c1C,0.8,0.05100078029277186,6.308995294140544,5.639261322139863,5.31151285389422,4.588130836558505,0.25194377,4.9270244,5.0668883,5.0744114,5.0092697,11.309103,11.70472,10.985785,11.706378,5.093432,4.2900686,4.939625,7.556177,6.464138,5.30916,7.5191565,6.2881417,7.28883,4.8817177,4.930616
COc1cc(C(=O)Nc2ccc(CNC(=O)c3ccc(C(C)(C)C)cc3)cc2)cc(OC)c1OC,0.8,0.03511657141229169,6.471532510165685,5.811018882593753,5.372533495959882,4.960791110726557,0.35340333,4.9248505,5.035388,4.9082513,5.09319,11.251659,11.573536,10.448465,10.947583,5.0627456,4.5255218,4.966526,7.7256904,5.2421136,6.087503,6.514082,6.3894997,7.0613346,4.768068,4.923188
C#CCOc1ccc(NC(=O)c2cc3c(C)nn(-c4ccccc4)c3s2)cc1,0.7966101694915254,0.15224866303016485,6.914417700469122,6.461639623200491,5.65367252125874,5.781427008323793,0.6627093,4.993207,5.02594,5.3777037,4.9905643,11.972858,12.016416,11.998882,11.594938,5.496187,5.1444774,5.2098737,8.2816515,7.1050696,6.6023984,7.44028,6.978707,7.787897,5.210029,5.1977515
CCCOc1ccc(NC(=O)c2ccc(C)c(NC(=O)c3ccccc3)c2)cc1,0.7755102040816326,0.026036390105407623,5.918494275608498,5.215711361631358,5.234788589873297,4.4618163191370765,0.12663317,4.9830093,4.9944086,4.8943014,4.9724765,11.468111,11.681487,11.610604,11.5571995,5.042663,4.1617355,4.930316,7.405755,4.8485384,5.2354665,6.8683877,4.4323254,5.2758217,4.7589016,4.8796883
COC(=O)c1ccccc1NC(=O)Cn1c(=O)n(Cc2ccc(C)cc2)c(=O)c2ccccc21,0.7719298245614035,0.09755085914203367,6.380114283048579,5.1981595055122645,5.108639274505787,4.809727166684495,0.12915084,4.9670672,4.9837213,5.230117,5.1297107,11.183492,12.293803,11.287487,12.036652,5.089254,4.439917,5.1885557,6.806468,4.936517,5.270323,6.43947,4.8151436,6.438335,4.7889833,4.9333506
COc1ccc(-c2nc3cc(NC(=O)COc4ccc(C(F)(F)F)cc4)ccc3o2)cc1,0.7666666666666667,0.09082946153003386,6.485585204416853,5.674784710736825,5.378658534763126,5.323082348854866,0.33954307,4.979517,5.004215,4.9465294,4.9384494,11.632952,11.852355,11.730955,11.278168,5.557905,4.730958,4.934572,6.609377,6.3655605,5.360568,6.7648897,3.4454002,5.8495617,4.999826,5.209685
CCCCOc1ccc(C(=O)N(Cc2cccs2)c2cccc(OC)c2)cc1,0.7543859649122807,0.005748401041372959,6.376123927142481,5.079382012189855,5.242257053094387,4.660125854037399,0.14017113,4.9277916,4.997918,4.950119,4.9872184,11.443534,11.822632,11.494363,12.210404,5.232274,4.1938624,5.0343285,6.376727,5.188312,6.1929564,6.716385,7.5401893,6.683546,4.8356013,4.80005
CCCOc1ccc(NC(=O)c2ccc(NC(=O)c3ccccc3)cc2)cc1,0.75,0.021660899307011136,6.089558337836551,5.105160169587145,5.069726020942765,4.334112870186749,0.14774518,4.963521,4.9883056,4.9188204,4.959486,11.558547,11.694832,11.739819,12.39527,4.815862,3.829008,4.4466,7.710307,5.4129086,5.6902347,6.6067305,5.0516577,6.1903973,5.1890874,4.8752327
COc1ccc(C)cc1NC(=O)CCNS(=O)(=O)c1cccc2nsnc12,0.746031746031746,0.012790495746085408,5.912021604343264,5.331630676308807,5.212800059535304,4.646039525996356,0.114214554,5.041405,5.012334,5.190911,5.26114,11.191922,11.90276,11.448355,11.860681,5.0857725,5.4628544,4.9017763,7.683395,5.9485407,5.3827386,6.8075857,8.087189,6.6285176,5.4678884,5.2980523
c1ccc(-c2nc(N3CCOCC3)c3[nH]ccc3n2)cc1,0.7446808510638298,0.6482065300173122,6.9458337301528505,6.481294371270506,6.297935731958261,6.22604808903859,0.73310274,4.9686465,7.5995727,6.4131937,6.3096275,11.557575,11.684705,12.027048,12.491678,5.2641892,7.1775723,7.1317115,7.1975427,6.057104,5.3284497,6.6794734,5.341127,6.566994,5.4411254,5.998045
Oc1ccc(CNCc2ccc(OCc3ccccc3)cc2)cc1,0.7428571428571429,0.02010951044902302,5.578280882903144,5.0033637401290605,5.212682000254699,4.288847531135883,0.10195008,7.244047,5.24827,4.9640055,5.2036324,11.281245,11.505123,10.784851,11.752198,4.9320188,3.5151262,4.1079865,6.369797,4.1321306,4.878069,5.630164,3.960745,6.332989,4.7115145,5.164157
c1ccc(-c2nc(N3CCOCC3)c3cccnc3n2)cc1,0.7391304347826086,0.7497396186885851,7.348234429696841,6.630393088075048,5.775537833372982,5.921140984820221,0.7542029,4.9686766,7.5977497,6.354389,6.323348,11.466161,11.704522,11.936521,12.591265,5.305118,7.536637,5.3086004,6.212093,7.110099,5.370705,7.044483,4.860553,7.1752896,5.1228137,5.3788223
