smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active,GAT_GCN_Davis,GATNet_Davis,GCNNet_Davis,GINConvNet_Davis,GAT_GCN_KIBA,GATNet_KIBA,GCNNet_KIBA,GINConvNet_KIBA,GATNet_BindingDB_pIC50,GATNet_BindingDB_pKd,GCNNet_BindingDB_pKd,GCNNet_BindingDB_pKi,GINConvNet_BindingDB_pKd,GINConvNet_BindingDB_pIC50,GINConvNet_BindingDB_pKi,GAT_GCN_BindingDB_pKd,GAT_GCN_BindingDB_pKi,GAT_GCN_BindingDB_pIC50,GCNNet_BindingDB_pIC50
Cn1cc(C=C2Oc3ccc(NC(=O)Nc4cccnc4)cc3C2=O)c2c(N3CCC(C(=O)N4CCCCCC4)CC3)ccnc21,1.0,0.9962792088292594,7.534355960479317,7.2487947696140065,5.900013483398248,6.163311070738803,0.878316,4.971339,5.019889,5.3311186,5.104312,11.66046,11.59956,12.477356,11.478398,6.879673,4.902846,5.004923,8.465564,6.064004,7.113326,7.0939245,7.924299,8.255385,7.4848256,7.537903
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CCCCC1,0.9375,0.9405469027794193,7.689197119223115,7.240594168935846,5.775537833372982,6.009326897133418,0.8584028,5.523634,5.27661,5.328001,5.1703796,11.901862,12.616364,11.958726,12.81697,6.9173746,5.9814463,6.9109783,7.205688,5.5039454,7.3494444,6.774169,8.039583,7.3519087,8.1361065,7.834756
O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CCOCC3)c3ccn(CCN4CCOCC4)c3n2)cc1,0.9322033898305084,0.9999987437255481,7.676907712384998,7.353455234119442,5.92482049257453,6.34821271357752,0.8992214,4.9755125,6.6178017,4.95903,4.929846,11.7267475,11.685428,11.320204,11.7275715,7.237589,6.439583,5.177314,7.649437,6.920108,8.076157,6.838267,5.3157105,7.65788,8.269013,7.722337
CC1COCCN1c1nc(-c2cnc(N)cc2C(F)F)nc(N2CCOCC2C)n1,0.92,0.9999990696842737,7.66259966602651,7.082130028037454,6.157244785602026,6.376087393048253,0.87534124,4.9915876,5.9811664,5.191411,5.212574,12.823638,11.896207,11.8935585,11.197978,6.1886253,6.058043,6.0582,8.084733,7.6657023,6.9984803,7.77094,8.805519,7.8406525,5.489299,6.6469774
CCc1ncnc(-c2ccc(C(=O)N3CCC(N4CCC(C)CC4)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,0.92,0.9999991410615097,8.212108875243919,8.234201805658449,7.72618661804141,7.841065321361352,0.98916245,5.0821953,5.048109,5.143316,5.1298285,12.13417,12.101666,12.474235,11.272507,7.6242185,5.973407,5.6707864,7.058917,5.8440323,7.7417207,7.333087,7.242134,7.5917635,7.9771576,7.8488436
Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CC1,0.92,0.9939910166409391,7.514804958925231,7.0723307127847725,5.89989161909039,6.009326897133418,0.88604033,4.9824295,6.201354,5.0051384,5.475566,13.651739,12.26719,13.016949,13.450933,6.72812,6.0068502,5.3303547,8.188609,8.719496,6.6407356,7.142684,8.233299,6.9222074,7.6485634,6.439787
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CC1,0.9148936170212766,0.9237372926998744,7.699510433489589,7.116142632786784,5.775341397130891,5.838445877297346,0.8349277,6.183817,6.0186257,4.9438086,5.1434293,12.255248,11.851064,11.822121,12.448801,6.6127734,6.085531,6.922284,7.5661607,5.1286077,7.322914,7.312177,9.084548,7.3481727,8.303621,7.953252
CSc1c(Cl)nc(-c2ccc(NC(=O)Nc3ccc(N4CCOCC4)cc3)cc2)nc1N1CCOCC1,0.9090909090909092,0.9999998122878642,7.352112398168219,6.895970649120194,5.775537833372982,5.981307564372327,0.81081885,5.855419,5.0074015,4.863739,4.935609,11.502229,11.393389,12.484165,13.013308,6.7030983,5.391102,6.380885,7.516285,6.283533,7.104909,7.2929907,5.153634,6.6981707,6.9528685,6.850046
CCc1ncnc(-c2cc(F)c(C(=O)NCCN3CCOCC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,0.9027777777777778,0.9966197571163292,8.219316387212334,8.335694073319704,7.636656020722079,7.841036754384494,0.99140286,5.157158,5.0068755,4.8836403,5.295281,11.777633,11.700153,12.159966,11.174146,7.9461155,4.7806005,5.56658,6.9455204,5.52529,8.060884,7.439178,7.5456743,8.493278,8.409497,8.005288
CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C4CC4)CC3)c(F)c2)c1C#Cc1ccc(NC)nc1,0.9014084507042254,0.9999981074767368,8.158461196462437,8.129075886227048,7.721207690934521,7.808668380723666,0.9796099,5.179097,5.008659,5.543645,5.8248377,11.715655,11.737433,12.443999,11.65128,8.042995,5.073373,6.8317776,7.4080095,6.0198035,8.15943,7.7663226,8.597737,8.567596,8.385648,8.337307
COC1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN6CCCCC6)nc5)cc4c32)C1,0.8985507246376812,0.012517455823519655,7.904375221251419,5.56130622537771,5.68922131654938,5.284649893836714,0.51133674,4.9801726,5.012426,5.1055517,5.1367865,12.111203,12.102189,10.988214,12.070855,5.514168,5.004965,4.8886614,6.962761,7.7470264,5.4812145,7.6806045,6.8457956,8.000062,5.5760517,5.5948496
CC1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(N4CCCC4)nc3)cc2)nc(C2CCOCC2)n1,0.8970588235294118,0.9954909661141924,8.059630656905885,7.693172183927667,7.176381031277495,7.195096847202947,0.9450146,5.0015078,5.331515,4.9580736,4.9652543,12.529036,12.50635,12.850734,13.229332,8.457557,5.9037075,6.273352,7.0722694,7.423606,7.839798,6.8722186,6.7643166,7.8299656,7.8882365,7.803815
CN1CCC(NC(=O)c2ccc(-c3ccc4ncc5ccc(=O)n(-c6ccc(-c7ccc(C(=O)NC8CCN(C)CC8)cc7)c(C(F)(F)F)c6)c5c4c3)cc2)CC1,0.8947368421052632,0.9802249919516677,7.902145989157591,7.446175304098118,6.785795741284514,6.955576646008932,0.90771186,5.005004,4.994499,5.036829,5.3584423,12.845167,11.799506,11.604828,11.920108,6.229171,5.301061,7.425203,7.73252,6.347104,7.672086,7.5196705,8.690365,7.139457,7.653953,7.347846
COc1cnc(-c2ccc(NC(=O)Nc3ccc(NC(C)=O)cc3)cc2)nc1N1CCOCC1,0.8928571428571429,0.9999916873688407,7.788123703208268,6.994282020773426,6.102182184130918,6.318938971784118,0.8701405,4.984746,4.9942884,4.9261937,4.950488,11.59167,11.419247,12.119257,12.691758,6.634575,5.1768312,4.906003,6.220778,5.1825495,6.9466686,7.263299,6.9370203,7.1098857,6.7098174,6.81511
CC1COCCN1c1nc(N2CCOCC2)nc2nc(-c3ccc(N)nc3)[nH]c12,0.8928571428571429,0.8078166551819994,7.000690902840662,6.786870222364242,6.611321528215839,6.394882047468075,0.8117684,4.995189,6.315183,6.3061867,5.478183,13.659912,12.061155,13.316196,11.417298,6.8611236,7.656636,5.303669,8.445677,7.45134,6.572577,6.9379487,7.4237266,7.064958,6.8107114,6.2577553
Cn1cc(C=C2Oc3cc(NC(=O)Nc4cccnc4)ccc3C2=O)c2c(N3CCC(C(=O)N4CCCC4)CC3)ccnc21,0.891566265060241,0.9894530640160825,7.414172409671908,6.838481364764445,5.77533973944131,6.009326897133418,0.79223996,4.96826,5.0192575,5.0805736,5.0544195,11.500205,11.599243,12.372488,11.571237,7.3470416,4.8940754,5.0180426,8.486506,6.677201,7.138819,7.469523,8.685221,8.394657,7.7309046,7.6375527
O=C(Nc1ccc(C(=O)N2CCOCC2)cc1)Nc1ccc(-c2nc(OC3CCOC3)nc(N3CCOCC3)n2)cc1,0.890625,0.9999855251696509,8.281038466108335,7.659717868665341,5.775537833372982,6.066897578673716,0.9206383,4.981241,5.098902,4.998025,5.0350304,12.080329,11.65907,12.399054,12.470624,7.6125164,6.018775,6.3325567,6.7403264,7.633872,8.268927,7.9157324,6.0834637,7.241917,8.363062,8.414097
CC1COCCN1c1cc(-c2cnc(N)nc2C(F)F)nc(N2CCOCC2C)n1,0.8888888888888888,0.9940478219423642,7.349804284628542,6.6242905408965,5.998055351384346,6.042769980904255,0.7798948,5.001564,6.0942845,5.0806046,5.1130867,11.825088,11.973602,11.6893015,11.239002,5.413647,6.061261,6.835435,7.0865426,7.4252386,6.8237658,7.8030972,8.983544,7.6747885,6.2061243,5.7672806
CN1CCN(CCNC(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(OC5CCOC5)nc(N5CCOCC5)n4)cc3)cc2)CC1,0.8888888888888888,0.9958934499814052,8.191369946142151,7.732356826258619,5.775537833372982,6.015038032166302,0.9465796,4.974979,5.0615406,4.906687,4.936877,12.786566,11.764644,11.703916,12.035644,8.393481,4.938813,5.3560286,7.2295856,7.406055,8.46145,7.29589,7.6682444,6.371125,8.612303,8.726935
Nc1nc2cc(-c3ccc4ncc(N5CCCNC(=O)C5)nc4c3)ccc2o1,0.8888888888888888,0.05549480110665929,7.099065726766826,5.277321730087543,5.3541705144032905,5.186105951179517,0.17218208,4.93359,5.280201,5.2344046,5.5805035,11.455418,11.833099,12.0416155,11.361987,5.1591215,5.4766793,5.708351,7.8617396,7.718405,5.2526803,7.1996236,7.7031174,7.907725,5.7947135,5.18474
COc1ncc(-c2cc3c(C)nc(N)cc3n(C3CCCC3)c2=O)cc1NS(=O)(=O)c1ccc(C)cc1,0.8873239436619719,0.9999968097950246,7.628569156837033,7.1927660330157295,5.775537833372982,6.009326897133418,0.8659736,4.9916325,4.9981794,4.963298,4.9967594,12.9944725,12.025964,12.559268,12.729424,6.7432466,5.032165,5.268358,6.8414226,7.169991,7.656474,5.641838,6.5731635,8.226352,7.1536345,7.3946967
Cc1nn(C(=O)COc2ccccc2)c(C)c1Sc1ccccc1,0.8863636363636364,0.013276634380853584,6.763652715624522,5.448326423225742,5.15449843983851,4.963051059221935,0.18266127,4.988888,5.015699,5.6536565,5.725381,11.20586,11.54305,11.957471,11.634452,5.005375,3.7662249,4.836714,6.3182025,3.8511589,4.8420653,6.1931705,4.9383993,6.1974325,4.8576007,4.8370476
CCOc1ccc(NC(=O)CSc2oc(-c3ccccc3)nc2S(=O)(=O)c2ccccc2)cc1,0.8852459016393442,0.44301033009445995,6.266916156042987,5.386799462115905,5.268321666795081,4.937067100084495,0.21131139,4.9884033,5.009636,5.5684075,5.215868,11.1547785,11.74451,11.608061,11.364183,5.4496307,4.940686,5.16177,7.636551,3.72229,5.2521105,6.803658,3.905094,5.923516,5.3301587,4.936863
CS(=O)(=O)C1(c2nc(-c3cccc4[nH]ccc34)nc3c2OCC2COCCN32)CCCC1,0.8840579710144928,0.9788388354855734,6.754452502884695,6.063252954299176,5.3780367087841965,5.320928598495443,0.46445292,6.6420794,6.1068554,5.0707335,5.091135,11.481866,11.6437235,12.155041,12.108092,5.7477956,6.50019,5.4722958,7.092284,6.576351,6.2166247,7.315718,8.430576,6.599806,6.421309,5.060013
CC(C)S(=O)(=O)c1oc(-c2ccc(O)cc2)nc1S(=O)(=O)c1ccc(F)cc1,0.8837209302325582,0.6090626792939388,5.907227152934391,5.23000363178913,5.225272120269969,4.949231258897265,0.11735232,6.1506977,5.947729,5.6253405,5.318755,11.273261,11.709773,12.306089,11.283809,6.0560985,5.8407745,5.039827,8.034792,5.362271,5.862646,6.748311,6.9009323,6.4308863,6.431906,5.9473395
CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOCC4)n2)CNCC3)cc1,0.8813559322033898,0.9958106269755757,7.839913437948608,7.430615385067941,6.274760129801083,6.593884345238105,0.91539156,4.984453,5.0274515,5.0549726,4.9288454,11.413237,11.899381,13.458868,13.15419,7.819803,5.058505,6.3990474,7.1010327,5.4979,6.6136684,7.13093,6.309602,7.7848644,7.39268,7.0242157
