smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active,GAT_GCN_Davis,GATNet_Davis,GCNNet_Davis,GINConvNet_Davis,GAT_GCN_KIBA,GATNet_KIBA,GCNNet_KIBA,GINConvNet_KIBA,GATNet_BindingDB_pIC50,GATNet_BindingDB_pKd,GCNNet_BindingDB_pKd,GCNNet_BindingDB_pKi,GINConvNet_BindingDB_pKd,GINConvNet_BindingDB_pIC50,GINConvNet_BindingDB_pKi,GAT_GCN_BindingDB_pKd,GAT_GCN_BindingDB_pKi,GAT_GCN_BindingDB_pIC50,GCNNet_BindingDB_pIC50
COc1ccc(C(=O)Nc2ccc(C(C)(C)C)cc2)cc1OC,0.775,0.026068081501323902,5.477300610189249,4.948628165765573,5.147491669498692,4.249994662087576,0.062871315,4.9291563,5.0341077,4.884308,5.6597557,11.231415,11.588717,11.440942,11.605064,5.0493536,4.214475,4.961271,7.2610073,5.335498,5.662805,6.2730746,5.143407,6.985711,4.8550663,4.8587775
CCc1ccc(CNc2ccc(OCc3ccccc3)cc2)cc1,0.7567567567567568,0.0012980131735505214,5.33930700982679,4.550562482722198,4.754244170444032,4.106623987064997,0.03541805,4.971571,4.971201,4.9245214,4.994668,11.426392,11.952329,10.822848,11.784928,4.626143,3.6336594,3.4166408,5.8609033,4.015588,5.1054373,6.167087,5.002315,5.665338,4.585713,4.958319
CCCOc1cccc(NC(=O)c2ccccc2)c1,0.7560975609756098,0.0019049402511143738,5.603334387994211,4.7297406095775525,5.030514938633544,4.011603582861356,0.06517998,4.959305,4.98386,4.909688,4.999774,11.48196,11.746385,11.703537,12.893103,4.6189575,3.7334032,3.779185,7.0008817,3.5850825,5.114179,5.949248,4.916721,5.300062,4.6458006,4.774435
COc1ccc(NC(=O)CSc2nc3ccccc3n2CCc2ccccc2)cc1,0.75,0.3429894794989096,6.207102998618619,5.139221505462786,5.207501481309414,4.565431091944276,0.07829697,4.942169,5.031826,4.900835,5.1601133,11.210239,11.975329,11.490274,11.557855,4.9570513,5.1064954,4.973591,6.2348475,3.805962,5.686057,7.014658,3.348776,6.8607407,5.3122716,4.919517
CCCOc1cccc(NC(=O)c2cccc(NC(=O)c3cccc(C(N)=O)c3)c2)c1,0.75,0.01303306271932002,5.749672517111208,5.258525862548439,5.20194981197996,4.858178652157981,0.14841142,4.942707,4.9606504,5.324259,4.934161,11.34219,11.815923,11.972752,11.612806,5.3733463,4.4585214,4.9354706,6.0995364,5.654298,5.6283693,7.163923,3.739435,5.9666905,5.865783,5.5075297
COc1ccc(-c2nc3ccccc3s2)cc1NC(=O)c1ccccc1OC,0.7454545454545455,0.17669040359893357,5.657408002570916,4.865058193131922,5.129456402037732,4.692763190046552,0.051156916,4.928733,5.0057163,4.951063,5.271554,11.26023,11.976365,11.685766,11.303776,5.194265,5.1237063,6.066762,7.9684944,7.3734894,5.4510894,7.1789064,5.104402,6.372144,5.1716557,4.9868097
CCCOc1cccc(NC(=O)c2cccc(C)c2)c1,0.7441860465116279,0.0010020963718178502,5.757489746423552,5.082841622862345,5.144045247362088,4.157414188155422,0.11772637,4.9680424,4.983041,4.9025097,4.9421363,11.300034,11.695379,11.543329,11.380796,4.6968207,3.9119885,4.930576,7.3328605,4.1849713,5.261459,6.082765,3.6555734,6.0016956,4.8925505,4.9274073
COc1ccc(NC(=O)Cn2c(SCc3cccc(OC)c3)nc3ccccc32)cc1,0.7419354838709677,0.2055918654722127,6.136536205298955,5.037374012220776,5.200613469450771,4.751667438819382,0.073474236,4.9461184,5.020918,4.9187307,4.936222,11.177646,12.123453,11.853982,11.243063,4.9347024,4.9709616,4.919179,7.5226736,4.8524013,5.9610586,6.8650637,4.557257,6.439327,5.606649,4.9271293
O=C(NCC1CCCN(Cc2cccc(Cl)c2)CC1)Nc1ccc(Cl)cc1,0.7413793103448276,0.015144140484542648,6.035053744573808,5.650181112762309,5.248972434002369,5.022096341563867,0.31077194,5.001749,5.012655,4.87963,4.944045,11.574249,11.285483,11.935978,12.576143,5.38559,4.233985,5.5481033,8.100172,5.3860135,6.112016,7.6362467,5.601133,6.865311,4.837884,5.1964574
COc1ccc(-c2nc3ccccc3s2)cc1NC(=O)c1cccc(Cl)c1,0.7413793103448276,0.07265538267350613,5.659820223790051,5.074016142689263,4.845322973619967,4.798715609656497,0.13123251,4.957616,4.9986086,4.893587,5.2717304,11.388071,11.975,11.718906,10.978443,5.35323,4.940362,5.6813345,8.174833,6.211299,5.596387,6.9848843,5.0797625,6.468463,5.00895,4.9310813
Cc1ccc(NC(=O)NCCCN2CCN(c3ccc(Cl)cc3)CC2)cc1,0.7407407407407407,0.23225475873950682,6.321605612602254,5.436922669493011,5.218425901035819,4.782288809735685,0.22181617,5.106409,5.00995,4.894664,4.997922,11.399131,11.578256,11.234015,11.98904,4.880374,4.628415,5.001209,6.779823,5.314213,5.75228,6.5456514,5.0110264,5.1117663,5.383978,4.880326
Oc1ccc(NCc2cccc(COc3ccccc3)c2)cc1,0.7368421052631579,0.0041086053061603674,5.755621991792635,5.436377465576921,5.0919243594925465,4.276108077179363,0.1746052,7.008094,5.464345,5.0010624,5.321389,11.453738,11.796456,11.610788,11.451026,5.1853967,3.5653338,3.73487,6.5415926,4.43117,4.901122,6.19204,3.5606182,6.2667084,5.165032,5.022571
CCCOc1cccc(NC(=O)c2cccc(F)c2)c1,0.7272727272727273,0.0020973444839302753,5.666555953629377,5.060516173157563,5.120275392618664,4.137488339521817,0.09764381,4.9794526,4.9742813,4.919853,4.93996,11.443344,11.734982,11.546257,11.582063,4.6782455,4.058307,4.9432497,7.1331196,4.0164046,5.150304,6.3109913,4.961211,5.297571,4.683712,4.904081
O=C(Nc1ccc(Cl)cc1Cl)c1cc(Cl)ccc1O,0.725,0.00880839171390564,5.351575948714101,4.68180440146884,4.647738135022943,4.532147599763952,0.05592364,5.5253124,5.042446,4.932502,4.982178,11.752594,11.187997,11.710545,11.19317,5.135189,3.903252,5.6822147,7.3339596,4.5260663,4.821706,7.74815,3.5372903,5.9533496,5.355583,4.941475
