smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active,GAT_GCN_Davis,GATNet_Davis,GCNNet_Davis,GINConvNet_Davis,GAT_GCN_KIBA,GATNet_KIBA,GCNNet_KIBA,GINConvNet_KIBA,GATNet_BindingDB_pIC50,GATNet_BindingDB_pKd,GCNNet_BindingDB_pKd,GCNNet_BindingDB_pKi,GINConvNet_BindingDB_pKd,GINConvNet_BindingDB_pIC50,GINConvNet_BindingDB_pKi,GAT_GCN_BindingDB_pKd,GAT_GCN_BindingDB_pKi,GAT_GCN_BindingDB_pIC50,GCNNet_BindingDB_pIC50
CCOC(=O)C1CCN(C(=O)CSc2c3c(nc4ccc(Cl)cc24)CCCCC3)CC1,0.9833333333333332,0.01658729563134246,6.479750226178985,5.751165424186578,5.297448346834212,5.021324651503893,0.2800946,4.9663467,5.0040026,4.8941755,5.5683517,11.20321,11.82923,12.843029,12.255605,5.5542955,5.0754642,5.0086794,6.242898,4.980673,6.6055493,7.4801416,6.854945,6.745079,5.550321,5.062783
CCCCCCn1c(=N)n(CC(O)COc2cccc(C)c2)c2ccccc21,0.979591836734694,0.004624436568603856,6.65751568139808,5.585671974225758,5.356476751925945,5.362002702256548,0.33330372,4.9980354,5.0261035,5.02009,4.9575324,11.33879,11.788643,11.646404,11.720382,5.005961,4.987728,5.274056,7.0695,5.043436,4.952263,6.8201733,8.392439,7.8794146,4.35349,5.143265
Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccccc2)cc1,0.9743589743589745,0.0011313003867867075,5.896103890930407,5.074467233313647,5.262377567782764,4.851031542684191,0.11620381,4.957898,5.3362446,4.918046,5.5356083,11.537678,11.87341,10.870522,12.009364,4.859658,3.9907181,4.888036,7.755669,5.078779,5.562386,5.624181,4.975256,8.146059,5.4724746,5.2487864
CCOC(=O)C1CCN(C(=O)CSc2c3c(nc4ccc(Cl)cc24)CCC3)CC1,0.9666666666666668,0.01305655601733929,6.516872997292245,5.7930096841818495,5.273781933001316,4.994006997143049,0.2734647,4.9672794,5.003682,4.879383,5.6244636,11.173534,11.866707,12.271961,12.190102,5.604364,5.044709,4.939207,6.470265,5.148873,6.139641,7.513196,7.1223993,6.190645,5.9646044,5.070776
CC1COCCN1c1cc(-c2cnc(N)nc2C(F)F)nc(N2CC2)n1,0.9622641509433962,0.994291210797493,7.392082898491777,6.676217249036136,6.07764858965012,6.1154870421662935,0.7981696,4.9921694,5.801051,5.0247607,5.3937364,11.66962,12.083188,11.561714,11.91851,5.266868,6.1693277,7.431612,7.2831717,7.177831,6.035187,6.6422434,8.667437,7.6214943,6.0632114,5.473419
CCOC(=O)C1CCCN(C(=O)CSc2c3c(nc4ccc(Cl)cc24)CCCC3)CC1,0.9516129032258064,0.014400762566275286,6.540115439548001,5.70565155742592,5.300689501075983,5.017740416088073,0.293175,4.9665685,5.0039086,4.875264,5.472336,11.182152,11.825992,12.484846,12.353491,5.5563474,5.060422,4.935217,6.8202486,4.933155,6.3409605,7.4802904,6.9140635,6.181065,5.6415,5.061342
Cc1nc2c(N)cc(N3CCOCOCC3)nn2c1Cc1cccc(C(F)(F)F)c1C,0.9473684210526316,0.009528724588466264,6.113131464511893,5.27242939640207,5.14499425576853,4.98246984431905,0.03418971,5.0005684,5.0088325,4.9048715,5.1054087,11.245122,11.627106,11.21964,11.361694,5.2012243,4.814187,4.8104944,8.203247,4.659536,6.712825,7.2244225,4.965193,7.026664,7.7484765,6.5762396
CC1COCCN1c1cc(-c2cnc(N)nc2C(F)F)nc(N2CCOOCC2)n1,0.9454545454545454,0.9862195524212689,7.140697598335267,6.5028821776318,5.661670571292469,5.777331248984458,0.6849895,4.9822,5.891926,5.051791,5.1877475,11.684664,11.95809,11.327685,11.682551,5.404741,6.0246572,7.5135155,6.041856,7.632285,6.182894,7.470316,9.216944,7.3132186,6.645598,5.873919
Cc1nc(N)nc2c1cc(-c1cn[nH]c1)c(=O)n2C1CCCCCC1,0.94,0.9999986870005713,7.398289418624411,6.830625820514183,5.975442234331323,6.009326897133418,0.8349046,4.985479,5.0046406,5.6785927,5.27182,11.760958,11.876191,12.819771,11.126097,6.8244004,6.2906094,6.3353176,7.9847856,7.5273123,7.451252,6.9898577,7.835983,8.006587,7.221238,6.7629952
Cc1nc(N)nc2c1cc(-c1cn[nH]c1)c(=O)n2C1CCCCC1,0.94,0.9999986870005713,7.434384744254348,6.904006857435532,5.973181606579716,6.009326897133418,0.8520134,4.985669,5.0046406,5.447851,5.2581215,11.816253,11.876191,12.901692,11.196136,6.8244004,6.2906094,6.395355,7.9629765,7.5185804,7.426593,6.936906,7.689888,7.891532,7.1598597,6.937384
