smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active,GAT_GCN_Davis,GATNet_Davis,GCNNet_Davis,GINConvNet_Davis,GAT_GCN_KIBA,GATNet_KIBA,GCNNet_KIBA,GINConvNet_KIBA,GATNet_BindingDB_pIC50,GATNet_BindingDB_pKd,GCNNet_BindingDB_pKd,GCNNet_BindingDB_pKi,GINConvNet_BindingDB_pKd,GINConvNet_BindingDB_pIC50,GINConvNet_BindingDB_pKi,GAT_GCN_BindingDB_pKd,GAT_GCN_BindingDB_pKi,GAT_GCN_BindingDB_pIC50,GCNNet_BindingDB_pIC50
C=C1C(=CC=C(CCC)c2cccc(CCCCC(C)(C)O)c2)CC(O)CC1O,0.9821428571428572,0.9487311771246516,8.302755555690702,8.211062615284098,8.562115607729805,8.349935084241167,0.8176401,5.7734814,5.5587273,5.032282,5.1175747,11.408389,11.450825,10.551258,10.98904,6.9142227,8.31268,8.254112,8.132263,8.4521885,6.4176083,8.389261,5.9052954,8.290514,6.7361364,6.0779815
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCC)cc(OCCCC)c2)CC(O)CC1O,0.9647058823529412,0.9446411389401952,7.242916516441915,6.2372617155247525,6.924179450314052,6.544738169063449,0.6851541,6.108158,5.846467,5.686678,5.0659556,11.406214,11.130888,10.4927635,10.874809,6.964414,7.504244,7.249672,9.085842,7.639476,5.923442,8.158012,8.863483,8.408687,6.7381773,6.257579
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OC)cc(OCCCC)c2)CC(O)CC1O,0.9534883720930232,0.9365102826405177,7.204948689657037,6.220866383333433,6.839926184740095,6.506714332158583,0.67263055,6.083606,5.668996,5.8275385,5.0541706,11.492828,11.225265,10.404338,10.827661,6.506659,7.5995007,7.0429263,9.1355095,7.7674327,5.8195434,7.914506,8.557224,8.425642,6.7187195,6.0033207
C=C1C(=CC=C(CCC)c2cccc(CCCC(C)(C)O)c2)CC(O)CC1O,0.9473684210526316,0.9449677869520864,8.292582509616842,8.176967890724804,8.576184949229635,8.349189448217684,0.8135343,5.9656982,5.5597925,5.063241,5.141799,11.430593,11.464936,10.593037,11.006599,6.730844,7.457145,7.8995137,7.819954,7.995289,6.715312,8.4181,5.9526005,8.106038,6.540267,6.315677
C=C1C(O)CC(=CC=C2CCCC3(C)C(CCCC(C)(C)O)CCC23)CC1O,0.9433962264150944,0.9413374794928803,8.356914842074763,8.255350797509767,8.690675988938478,8.421030354276304,0.7886606,6.129486,5.3710155,5.093074,5.1555023,11.072625,10.305839,10.452586,11.118025,7.5558634,9.761041,8.073721,8.283707,7.879998,7.817934,8.025699,6.410263,7.987092,6.243779,5.708786
CC(CCC(C)(C)O)C1CCC2C(=CC=C3CC(O)C(=CCF)C(O)C3)CCCC21C,0.9166666666666666,0.9501048191185736,8.340241801935731,8.25403541172163,8.60428325803821,8.375541809006418,0.7910616,6.0263033,5.533625,5.26453,5.151863,10.979767,10.505877,10.704955,10.730005,8.073475,7.1708374,7.4849434,7.414175,8.191664,6.6608315,7.697082,9.124612,7.9100847,6.767539,7.093528
C=C1C(=C)C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C(CC)CC(O)(CC)CC)CC1O,0.9,0.9787879356547569,8.436722233493766,8.394255721096055,8.688358576907488,8.432937977525256,0.8179268,6.310416,5.511481,5.635432,5.2060213,10.867413,10.617249,10.426137,10.904235,8.087432,9.395189,7.8731403,7.520669,8.516406,6.422953,7.9343214,8.981874,8.481625,7.168928,6.749168
C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C(CCCC)CC(O)c2ccc(O)cc2)CC1O,0.9,0.9550923158943436,8.115281687742312,7.618390870833743,8.155416756269808,8.025650132398114,0.79458547,6.1267347,5.704501,5.525923,5.4523153,11.056098,10.706532,10.391631,10.795944,7.3191566,9.76317,8.196573,8.458773,7.740317,5.8435736,6.7583466,8.656475,7.79523,7.2894554,7.2375464
C=C1C(=CC=C(CCCC)c2cccc(CCCCC(C)(C)O)c2)CC(O)CC1O,0.8983050847457628,0.9487566917071832,8.293688630715272,8.17579596681194,8.49365961048461,8.324857290894633,0.8225447,5.783142,5.5587273,5.041362,5.030451,11.41341,11.449914,10.535376,10.948358,6.9142227,8.312762,8.2008,7.9129076,8.231189,6.0689907,8.418058,5.818216,8.178404,6.8771544,6.6159353
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OC)cc(OCCC)c2)CC(O)CC1O,0.8977272727272727,0.9339056851487458,7.246730459400811,6.288988972263412,6.848210821507421,6.5552103446241725,0.6890153,6.103859,5.669969,5.855893,5.0606403,11.533201,11.230451,10.54077,10.885227,6.505588,7.6094856,6.918299,9.162349,7.614829,6.096072,8.021205,8.64402,8.537252,6.7575226,5.93005
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCCO)CC(O)C(C)C1O,0.8904109589041096,0.9581000755812462,8.096107947380167,7.893840141838722,8.462978351894076,8.145064110097,0.8120861,6.046074,5.5680704,5.66752,5.094816,10.378176,10.745274,10.494979,10.549895,7.6253147,8.489178,7.030839,8.124381,8.78664,6.91693,8.683028,7.4632187,8.280258,7.071171,7.4720435
C=C1C(O)CC(=CC=C2CCCC3(C)C(CCC(C)(C)O)CCC23)CC1O,0.8867924528301887,0.955137148646288,8.361903745612002,8.234056614188466,8.677750349783608,8.396344578639413,0.7882146,6.1360917,5.371511,5.128581,5.2130966,11.067473,10.319662,10.454227,11.142937,7.5257297,9.795142,8.093067,8.3055935,7.982414,7.9410086,7.941661,6.6944475,7.9872274,6.214971,5.425861
