smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active,GAT_GCN_Davis,GATNet_Davis,GCNNet_Davis,GINConvNet_Davis,GAT_GCN_KIBA,GATNet_KIBA,GCNNet_KIBA,GINConvNet_KIBA,GATNet_BindingDB_pIC50,GATNet_BindingDB_pKd,GCNNet_BindingDB_pKd,GCNNet_BindingDB_pKi,GINConvNet_BindingDB_pKd,GINConvNet_BindingDB_pIC50,GINConvNet_BindingDB_pKi,GAT_GCN_BindingDB_pKd,GAT_GCN_BindingDB_pKi,GAT_GCN_BindingDB_pIC50,GCNNet_BindingDB_pIC50
COC(=O)Cc1ccc(OCc2cnc(-c3ccccc3OC)s2)cc1,0.6,0.0542075078502552,6.033884712541563,5.7060883201617,6.073856030665179,5.914070964118517,0.3800026,4.8063064,5.5873127,5.015954,5.0145936,11.726845,10.399748,10.564289,11.05798,4.6959515,5.3964567,4.7462854,5.427528,7.6723056,5.1256475,6.254837,5.406986,6.067807,4.7404075,4.7823663
COc1cccc(-c2nc(COc3cccc(C(=O)O)c3)cs2)c1,0.5862068965517241,0.06008515814704323,5.958569667048239,5.517586043592961,5.897330816871762,5.798961584073303,0.28940418,4.9184914,5.7249713,5.047726,5.4798684,11.75032,11.230914,11.446815,11.47706,4.4618387,5.4941883,4.9777403,6.1855874,8.673048,4.8892455,6.0301957,5.7441683,5.79834,4.756167,5.269815
COc1cccc(-c2nc(CS(=O)Cc3cccc(C(=O)O)c3)c(C)o2)c1,0.546875,0.0634506736177227,5.852299183131453,5.5297848923424455,5.895069710540425,5.889815730860856,0.28136703,4.8985877,5.8878665,5.377858,5.3996305,11.791555,11.544171,11.103,11.502875,4.7315087,5.3172197,4.858413,6.0450764,6.0458565,5.003065,5.993651,5.089896,7.217436,4.4347167,4.393384
COC(=O)Cc1ccc(OCc2cnc(C)n2-c2ccccc2OC)cc1,0.5396825396825397,0.046930942677759435,5.964204705507532,5.387674414118574,6.027109410342228,5.755506992627879,0.25455105,4.819562,5.5635962,5.186761,5.3413463,11.318338,8.899459,10.435537,11.422896,4.6893897,5.276855,4.5657,5.2019043,5.969366,4.760831,5.4805474,5.417134,7.244854,5.937703,4.570459
COC(=O)c1cccc(OCc2nc(C)c(Cc3cccc(OC)c3)o2)c1,0.515625,0.06690061970931235,5.418349382808771,4.846377952572428,5.066710056323727,5.25984276558511,0.08281809,5.1568213,5.819626,5.061676,5.1740055,11.498219,10.668197,10.434147,11.589193,4.7768,5.2334747,4.757348,6.91725,6.716628,4.9790187,6.399604,5.3669953,6.950041,4.400051,4.495207
COC(=O)c1cccc(OCc2nc(C)c(-c3cccc(OC)c3)s2)c1,0.5079365079365079,0.07284926882175612,5.658802751740599,5.108754015852751,5.281360709447444,5.387206695878068,0.14120807,5.1942396,6.025115,5.0818195,5.210594,11.602001,10.533792,11.20343,11.83161,4.916083,5.2268972,4.9511633,6.081838,8.068071,5.1440067,6.0120463,5.6967688,7.112525,4.6045866,4.9225373
COC(=O)Cc1ccc(OCc2ccccc2OCc2ccnn2C)cc1,0.4923076923076923,0.056918096289447655,5.832583146232386,4.87587477462717,5.334598054209842,5.156232840629238,0.124046534,4.814556,5.2692127,4.939531,5.01043,11.461042,8.586977,10.4339485,11.399926,4.5383773,5.285715,4.1737103,6.4510055,7.7426825,4.568968,5.641324,5.2266984,5.242862,4.642047,4.60363
COc1cccc(-c2nc(C=Cc3cccc(C(=O)O)c3)no2)c1,0.492063492063492,0.055073022261009096,5.875588719380948,5.238853180886948,5.94900977861427,5.468453679174919,0.21112643,4.9936924,6.031004,5.0914288,5.4658394,11.843487,11.530158,11.563233,11.186339,4.2325177,5.6850705,5.117921,5.545125,7.4619217,4.7132816,6.186127,5.007966,5.172348,4.335136,5.299868
COC(=O)Cc1ccc(OCc2ccccc2OCc2ccc(C)nc2)cc1,0.492063492063492,0.05548050583490611,5.556532988474489,4.693001352696908,5.21642220366522,4.907031067980397,0.07454859,4.797036,5.8203235,4.9886007,5.0022006,11.593733,9.702552,10.449525,11.683298,4.4884205,5.1993732,4.1725492,6.279143,8.527131,4.8428197,5.838708,4.958391,6.6294637,4.5654187,4.46986
COc1ccccc1-c1nc(COc2ccc(CC(=O)O)cc2)cs1,0.484375,0.03491437736127824,5.505080512531888,5.262423135423389,5.227293222751152,5.471887379120235,0.19087201,4.82792,5.6426067,5.0294194,5.1366167,11.443812,9.355008,10.49141,11.4258,4.4638515,5.466858,4.7395515,5.6798005,7.2241926,5.2737803,6.1332974,5.1217637,6.153961,4.424225,4.9822416
