smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active,GAT_GCN_Davis,GATNet_Davis,GCNNet_Davis,GINConvNet_Davis,GAT_GCN_KIBA,GATNet_KIBA,GCNNet_KIBA,GINConvNet_KIBA,GATNet_BindingDB_pIC50,GATNet_BindingDB_pKd,GCNNet_BindingDB_pKd,GCNNet_BindingDB_pKi,GINConvNet_BindingDB_pKd,GINConvNet_BindingDB_pIC50,GINConvNet_BindingDB_pKi,GAT_GCN_BindingDB_pKd,GAT_GCN_BindingDB_pKi,GAT_GCN_BindingDB_pIC50,GCNNet_BindingDB_pIC50
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCCC)cc(OCCCC)c2)CC(O)CC1O,0.9761904761904762,0.9490153442077269,7.150974478728855,6.290722147940086,6.967656519986565,6.61400183058824,0.69611263,6.1165724,5.684452,5.4823256,5.067624,11.443835,11.14008,10.445208,10.819117,7.084595,7.701124,7.2060895,9.106215,7.681293,6.061264,8.173488,8.788225,8.310327,6.767563,6.245286
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCC)cc(OCCCC)c2)CC(O)CC1O,0.9647058823529412,0.9446411389401952,7.242916516441915,6.2372617155247525,6.924179450314052,6.544738169063449,0.6851541,6.1081576,5.846467,5.686678,5.0659556,11.406214,11.130887,10.4927635,10.87481,6.964414,7.504244,7.249672,9.085842,7.639476,5.923442,8.158012,8.863483,8.408687,6.7381773,6.257579
C=C1C(=CC=C2CCCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCCCC)cc(OCCCC)c2)CC(O)CC1O,0.9642857142857144,0.9381185967816698,7.149701156474119,6.285097519873707,6.964210697493632,6.611574792070256,0.69485176,6.097336,5.676207,5.3717656,5.105031,11.391682,11.122493,10.438946,10.742581,7.021984,7.7147427,7.3375325,9.114324,7.8492465,5.7108855,7.9029064,8.874508,8.110278,6.691116,6.1080937
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCCCC)CC(O)C(C)C1O,0.9577464788732394,0.9535688528682977,8.103875617001199,7.88888681116087,8.4354461512797,8.175080701658704,0.81890106,6.2046633,5.688177,5.345624,5.091887,10.28951,10.770026,10.38543,10.537111,7.9409027,8.088293,7.318607,7.6768913,9.364452,6.8087587,8.593092,8.171124,8.078231,7.138648,8.017996
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCCCC)cc(OCCCO)c2)CC(O)CC1O,0.9534883720930232,0.9512975975686099,7.246483680885178,6.207091383022112,6.96082551964404,6.558703832868575,0.6758333,6.085971,5.3285947,5.588805,5.0816717,11.3371105,10.964848,10.466444,10.8118305,7.0843015,7.8803005,6.8002615,9.19544,7.5050955,5.9377313,8.236942,8.149971,8.273348,6.4088774,6.4441586
C=C(COCC(C)C1CCCC2C(=CC=C3CC(O)CC(O)C3=C)CCCC21C)C1=CCCCC1(C)C,0.9285714285714286,0.9299643689129637,7.810549229624465,7.435062903722989,8.275892532972957,7.924185087031916,0.77345514,6.05305,5.1789627,5.2502832,5.071009,10.870266,10.290741,10.473288,10.9901085,6.7248616,8.901405,7.4756274,8.56814,8.668106,6.7829285,8.947102,7.5738764,8.622631,5.296454,7.1838083
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCCCC)cc(OCc3ccccc3)c2)CC(O)CC1O,0.9111111111111112,0.9288861529671594,7.002875653691119,5.9803795454052695,6.495145689877299,5.99092512068842,0.5450831,6.144002,6.029726,5.477443,5.087369,11.593099,11.413176,10.474674,10.901541,6.3219557,7.580143,7.510045,8.9803505,7.869138,6.1999207,8.045002,8.948346,8.373687,6.918265,6.151908
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCCCC)cc(OCCCC)c2)CC(C)CC1O,0.9080459770114944,0.9495607052544777,7.088489958193984,6.183712048827789,6.901432220800053,6.559025773425544,0.6548521,6.1332045,5.7998705,5.4605227,5.2192163,11.380482,11.253861,10.445991,11.087112,7.1490664,7.5544367,7.569524,9.175919,8.192951,5.848675,7.419877,8.410343,8.194172,6.767345,7.0256014
CC1(CCC#CC(O)(C(F)(F)F)C(F)(F)F)CCCC(C=CC=C2CC(O)CC(O)C2)C1(C)C,0.9056603773584906,0.5694751990532075,7.872036018596891,7.332720201744326,7.835092370351969,7.505930552191389,0.8414691,5.490406,5.2968526,5.871234,5.502451,11.910205,11.581907,11.403009,11.597837,7.376622,6.193656,5.9618187,7.2797136,7.099962,7.2597733,8.586341,5.7558994,8.508787,5.4773464,6.1166997
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OC)cc(OCCC)c2)CC(O)CC1O,0.8977272727272727,0.9339056851487458,7.246730459400811,6.288988972263412,6.848210821507421,6.5552103446241725,0.6890153,6.103859,5.669969,5.855893,5.0606403,11.533201,11.230451,10.54077,10.885227,6.505588,7.6094856,6.918299,9.162349,7.614829,6.0960717,8.021204,8.64402,8.537252,6.7575226,5.93005
