smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active,GAT_GCN_Davis,GATNet_Davis,GCNNet_Davis,GINConvNet_Davis,GAT_GCN_KIBA,GATNet_KIBA,GCNNet_KIBA,GINConvNet_KIBA,GATNet_BindingDB_pIC50,GATNet_BindingDB_pKd,GCNNet_BindingDB_pKd,GCNNet_BindingDB_pKi,GINConvNet_BindingDB_pKd,GINConvNet_BindingDB_pIC50,GINConvNet_BindingDB_pKi,GAT_GCN_BindingDB_pKd,GAT_GCN_BindingDB_pKi,GAT_GCN_BindingDB_pIC50,GCNNet_BindingDB_pIC50
CCC(O)COc1ccc(C(C)(C)c2ccccc2)cc1,0.5853658536585366,0.10743055601943599,5.468678642620828,5.086681082146275,5.435693889502392,5.214775999852376,0.14149939,5.935906,5.484989,5.459283,5.496458,11.619359,11.547206,10.824708,11.840345,5.0987797,5.5132895,4.9005427,8.208598,7.661635,4.8823805,6.464242,5.488164,7.6734037,4.703413,4.614382
COc1cccc(-c2nc(CCOc3cccc(C(=O)O)c3)no2)c1,0.5833333333333334,0.060158712289872227,5.467087741638767,5.0371813996311685,5.384800165257986,5.6292600616277095,0.14736968,4.8271823,5.820079,4.9713497,5.5042353,11.827036,10.811481,11.472676,11.410335,4.5210266,5.6800776,4.7506537,5.7321486,6.6800413,4.9577055,6.2935886,5.103303,6.8495536,4.318174,4.7799597
CC(C)COc1ccc(OCC(O)CO)cc1,0.5675675675675675,0.1339383933605607,5.471734503071242,4.839076358679682,5.115013017276588,5.033316723181183,0.100337274,5.5741234,5.224945,5.775839,5.2528706,11.389885,10.858115,11.073679,11.535403,5.103627,5.245783,4.6541076,5.99574,7.909446,5.4419994,6.521555,6.141019,5.1726065,4.4044876,4.4186583
OCC(O)COc1ccc(Oc2ccc(C(F)(F)F)cc2)cc1,0.5609756097560976,0.16241579662243544,5.732222188217083,5.209686610220051,4.943851471960527,5.043144109831671,0.16580687,4.8736534,5.065218,5.149249,5.345933,11.502212,11.441864,10.796356,11.374573,5.237807,4.80781,3.9076293,5.991696,7.1939697,5.710937,6.4752817,5.571247,7.3244166,4.700474,4.745497
CC(O)C(C)(C)c1ccc(OCC(O)CC(O)CO)cc1,0.5581395348837209,0.30759538886010146,5.504436678039855,5.08288635922903,5.798930294141204,5.549198013760023,0.15906653,5.6156354,5.195609,5.594695,5.5251465,11.461262,10.539423,10.875853,11.1940155,4.984112,5.586187,4.7668786,6.092854,7.6935945,4.937913,6.0619025,5.6088295,5.84824,4.3263464,4.3226914
Cc1cc(O)ccc1OCC(O)CO,0.5555555555555556,0.1362231130127269,5.33481637186868,4.432357676520311,5.214059358854601,4.800205906989695,0.038836967,5.678239,5.6842546,5.7459135,5.405204,11.877832,10.29955,10.74023,11.138557,4.972812,5.0326457,4.667837,5.680668,6.5185337,4.6393495,6.277474,5.533416,5.4988146,4.232912,4.6377997
CC(C)(C)C(O)COc1ccc(OCCBr)cc1,0.55,0.23895328336331761,5.587972364652801,4.681905050951447,4.843756866601271,4.841384718476401,0.090728655,5.0401144,5.172655,5.2043943,5.3899717,11.478211,10.608768,10.711455,11.481179,4.974616,6.0534744,6.1196,7.259595,7.2543917,5.856452,6.5670624,5.635446,5.451111,5.127525,4.511814
CNC(=O)c1ccc(OCC(O)C(C)(C)C)cc1,0.5348837209302325,0.19533574510257906,5.44198694341301,4.912795202541163,5.023639307897631,5.315527454778345,0.11761666,5.090042,5.5094256,5.5385246,5.1670475,11.820213,10.785837,11.080145,11.82074,4.298557,5.9064436,4.7471247,6.4103518,7.243231,4.6982107,6.836787,5.268052,5.4463606,3.9959776,4.427022
COc1cccc(-c2nnc(NC(=O)c3cccc(C(=O)O)c3)o2)c1,0.5333333333333333,0.06094881486384307,5.7338787501643695,4.888959990748502,5.34842916734354,5.393199215713559,0.11559826,5.35698,6.116433,5.0978117,5.44418,11.914811,11.683053,11.665166,11.374848,4.267147,5.6313763,5.2860727,5.6209865,6.6228914,4.7498436,5.6729817,4.958132,5.9207926,4.209549,4.6803756
CC(C)(C)NCC(c1ccc(OCC(O)CO)cc1)C(C)(C)C,0.5333333333333333,0.19612082710348014,5.645613626826949,5.022463753897528,5.583014225311652,5.47694762680513,0.14771463,5.19882,5.408305,5.5893908,5.461959,11.576054,10.444542,10.569231,11.538776,4.88997,6.1501102,4.966058,6.2615976,7.7136846,5.237769,6.7391825,5.7474475,6.259459,5.79994,5.26848
