smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active,GAT_GCN_Davis,GATNet_Davis,GCNNet_Davis,GINConvNet_Davis,GAT_GCN_KIBA,GATNet_KIBA,GCNNet_KIBA,GINConvNet_KIBA,GATNet_BindingDB_pIC50,GATNet_BindingDB_pKd,GCNNet_BindingDB_pKd,GCNNet_BindingDB_pKi,GINConvNet_BindingDB_pKd,GINConvNet_BindingDB_pIC50,GINConvNet_BindingDB_pKi,GAT_GCN_BindingDB_pKd,GAT_GCN_BindingDB_pKi,GAT_GCN_BindingDB_pIC50,GCNNet_BindingDB_pIC50
Cc1ccc(NCC(C)O)c(C)c1,0.4634146341463415,0.17600332483314682,5.184284956818484,4.575100792484876,4.567120161822112,4.71594162409706,0.053925537,5.3740144,5.5804205,5.6199303,5.3393764,11.41119,10.513443,10.684363,11.816819,5.0663247,4.7303023,5.2545757,5.4052935,7.9681826,4.7904778,7.462134,5.1297903,5.4242096,4.6553435,4.342523
COCC(O)COc1ccc(CO)cc1C,0.4313725490196078,0.16556713629306802,5.375129333371633,4.643840157027741,4.657166021099936,4.855084538822766,0.07344066,5.3991547,5.3755207,5.488207,5.2651477,11.881001,11.183062,10.691855,11.644543,5.021114,5.015427,4.6910353,6.24274,6.7584553,4.5587606,6.350794,5.8481245,5.653933,4.0941896,4.5284333
CCC(C)(Br)Nc1ccc(C(C)(C)C)cc1C,0.4285714285714285,0.3825392562523227,5.390362242852017,4.895690453555877,5.059146337602631,5.170031449215701,0.111417904,5.5878487,5.417892,5.6338205,5.327261,11.94631,11.468515,11.445501,11.3414755,5.4134617,5.204257,6.3689013,6.1274495,7.036717,5.2171745,8.098129,5.5650525,7.4537745,5.3117924,4.7639537
CC(C)COc1ccc(C(C)(C)C)cc1,0.425,0.22890004608591347,5.355153160984069,4.562336673478073,4.734527908274432,4.998667761910696,0.074842826,5.3336573,5.18298,4.93675,5.1281285,11.6778965,11.0744705,11.232802,11.669535,4.877804,5.4235706,4.720268,6.390943,8.692212,4.827475,7.220741,5.597436,6.1590815,5.1316967,4.5242896
COC(=O)Cc1ccc(OC)c(-c2ccc(-c3ccccc3)cc2)c1,0.4166666666666667,0.05748807631844281,5.609107632833804,5.166023711302538,5.9184306469770185,5.762141954915773,0.1806952,5.555021,5.8471327,5.1235313,5.744983,11.369153,10.975434,10.352145,11.108854,4.682956,5.7622685,4.763427,5.8003044,7.2377615,5.1348333,6.737387,4.980085,6.276988,4.906307,4.6525936
Cc1ccc(NCC(C)C)c(C)c1,0.4146341463414634,0.13535592490654058,5.222576629010134,4.7392489381202765,4.724911065570116,4.75905799288985,0.07143494,5.535143,5.6383705,6.036605,5.0847874,11.770022,10.862035,10.916192,11.734208,5.195924,5.028926,5.8159695,5.4597225,8.874485,4.7546134,6.455227,5.346314,4.5302835,4.814253,4.4434366
COc1cccc(C(=O)OCc2ccc(-c3ccc(C)cc3)o2)c1,0.4,0.05843303806778892,5.53165138622184,4.972253236081279,5.725522833554403,5.673579098044467,0.14210342,5.328343,5.8033285,5.0215297,5.331512,11.842632,10.855628,11.152,11.401512,4.939935,5.219325,4.7500277,4.884138,9.902304,4.5581465,5.7602906,5.6543226,4.6678357,4.8709693,4.660035
CCNCCC(C)(C)CNc1ccc(N)cc1C,0.3877551020408163,0.2634486922630825,5.197410972383691,4.722562566214329,4.266935575308589,4.9151607528152965,0.0752977,6.160194,5.6929207,6.1811438,5.1508226,11.58399,11.876052,11.001795,11.542847,5.3928413,5.047079,5.9531574,6.488073,8.206393,4.8853683,8.142022,5.33276,5.827639,5.2674556,4.7008047
COC(=O)Cc1ccc(C)cc1,0.3846153846153846,0.05436678364779629,5.503229799919141,4.81868802346959,5.011273225490124,4.654523461820791,0.088203385,5.3595734,5.1604366,5.0129204,4.964122,11.847134,11.441262,10.455683,11.235825,4.6267614,5.7010393,3.3116288,4.996948,6.7530575,4.597221,5.6886473,4.1375275,5.479578,4.340852,4.3651114
COc1cccc(C(=O)CSc2nc3ccc(C)cc3o2)c1,0.3823529411764705,0.08028600830545471,5.200893496535452,4.677734104193081,5.018569267664318,5.027808426543063,0.06411815,4.845891,5.8111315,4.9511046,5.192607,11.536612,11.593717,11.235582,11.161521,4.792902,5.0790563,4.951762,5.0987463,7.232412,4.736007,6.0230317,5.19841,6.0294166,4.441474,4.529369
CC(=O)c1cccc(OCc2ccc(F)c(Cl)c2)c1,0.3787878787878788,0.071190786930767,5.452949097777611,4.778344792879515,4.781295971010367,4.748411422161717,0.08403718,4.841403,5.0153074,4.960432,5.068688,11.621626,11.080854,11.1518,11.184581,4.797996,4.7656455,5.0373263,5.8360133,6.169692,4.518547,6.2926064,5.4116316,6.7055545,4.6262136,4.551188
Cc1cc(Cc2ccc(Cl)cc2)ccc1NCC(C)C,0.375,0.11254680887605165,5.214687766008087,4.539368583250318,4.802709756349377,4.7162655261786215,0.04771185,5.5600224,5.730576,5.77929,5.052466,11.534502,11.369505,10.676101,11.464858,5.1483064,5.051219,5.234589,6.286451,9.285067,4.689141,6.8416767,5.593721,5.417239,5.0429726,5.0016017
COc1ccc(COc2ccc(C)cc2)cc1-c1ccccc1Cl,0.375,0.047976018348410636,5.839497158524001,5.429202417080055,5.696229304796318,5.585955586588289,0.25764287,4.964059,5.128131,5.295583,5.178126,11.875764,11.444334,10.9504175,11.649764,4.7978454,5.1568933,5.4052477,5.861631,6.8739595,4.601359,7.003902,5.3024793,5.2697277,5.0350904,4.802537
Cc1cc(Br)ccc1NCCS,0.3720930232558139,0.19742168491566672,5.234336232615524,4.509087200255055,4.715259027424087,4.474215026769869,0.045263045,5.8296804,5.027406,5.8989115,5.130555,11.945475,11.261025,11.20623,11.70297,5.016439,5.3915954,5.566554,7.8805475,6.6078825,4.96542,7.429222,6.3890343,6.611339,5.0570254,5.3797073
COc1cccc(C(=O)N(C)C)c1,0.3703703703703703,0.0522549713315798,5.043148666265275,4.249334868803283,4.466486283795842,4.306490928957978,0.028164413,5.218895,5.7964153,5.286688,5.5616293,11.342071,11.272168,11.660658,12.005355,4.833486,4.675885,4.6856813,5.8747144,6.2298155,4.494827,5.479168,5.699992,6.65088,4.3135233,4.4604454
Cc1cc(C=O)ccc1NCC(C)C,0.3695652173913043,0.11573614462300272,5.144766841680572,4.363097518107639,4.627655550022402,4.7698375367620205,0.04134315,5.5186753,5.74409,6.092394,5.1405454,11.657911,10.988269,11.03489,11.643328,5.163727,5.1636667,5.786209,5.93781,8.444092,4.6167884,8.006136,6.0339594,5.607627,4.39853,4.595366
