smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active,GAT_GCN_Davis,GATNet_Davis,GCNNet_Davis,GINConvNet_Davis,GAT_GCN_KIBA,GATNet_KIBA,GCNNet_KIBA,GINConvNet_KIBA,GATNet_BindingDB_pIC50,GATNet_BindingDB_pKd,GCNNet_BindingDB_pKd,GCNNet_BindingDB_pKi,GINConvNet_BindingDB_pKd,GINConvNet_BindingDB_pIC50,GINConvNet_BindingDB_pKi,GAT_GCN_BindingDB_pKd,GAT_GCN_BindingDB_pKi,GAT_GCN_BindingDB_pIC50,GCNNet_BindingDB_pIC50
C=C1C(O)CC(=CC=C2CCCC3(C)C(CCCCCCCC(C)(C)O)CCC23)CC1O,0.981132075471698,0.9414753518152478,8.326015003911884,8.231397965497864,8.687680551209663,8.429075685536679,0.787717,6.0195856,5.370158,5.0485854,5.0664053,11.154718,10.480786,10.440861,10.965561,7.5954213,9.505765,8.086056,9.379305,7.79429,6.2729206,7.766792,6.09894,7.904628,6.373068,7.4210286
C=C1C(O)CC(=CC=C2CCCC3C(CCCCCCCC(C)(C)O)CCC23)CC1O,0.98,0.8183263788888706,8.361703403427617,8.367879569132096,8.629761725183544,8.4229203951953,0.8163305,5.9753666,5.3770285,4.9797034,5.6053104,11.342378,10.497416,10.426634,10.946469,7.519248,8.915056,7.617581,8.607092,7.522807,4.728914,7.3243895,6.06778,6.9059186,5.993037,6.1869025
CCCc1cc(COc2ccc(CC)c(-c3ccc(C(O)(CC)CC)cc3CCC)c2)ccc1CO,0.9607843137254902,0.9355905099955009,6.110442269377487,5.555151216472402,5.776602071150157,5.780572048241598,0.3306515,6.1105595,5.1597567,5.4957356,5.0460253,11.728654,11.310634,11.284102,11.459728,5.687894,5.274639,5.888302,8.253825,7.4212914,6.0575285,6.783167,6.315262,6.939335,7.5161424,7.008852
CCCc1cc(C(O)(CC)CC)ccc1-c1cc(OCc2ccc(CO)c(CC)c2)ccc1CC,0.9607843137254902,0.9371483606677469,6.797612803654008,6.546398819228715,6.302948964919976,6.390323377850467,0.74977636,6.104824,5.160303,5.5002027,5.049101,11.724504,11.310938,11.339542,11.498505,5.718766,5.2685738,5.851519,8.279837,7.6034584,6.17716,6.619489,6.640844,7.005628,7.2687044,6.8818226
CCCc1cc(C(O)(CC)CC)ccc1-c1cc(OCc2ccc(CC)c(CO)c2)ccc1CC,0.9607843137254902,0.9354663644086532,7.206418214760556,6.768666202644575,6.779937112329679,6.693589663686307,0.8256141,6.105756,5.1596775,5.5006156,5.0514812,11.694225,11.310944,11.305475,11.500233,5.719937,5.2693257,5.8724136,8.425978,7.705966,6.286341,6.629211,6.4449644,6.9797077,7.477054,7.063809
CCCc1ccc(COc2ccc(CC)c(-c3ccc(C(O)(CC)CC)cc3CCC)c2)cc1CO,0.9607843137254902,0.9393197713108021,5.945139405825911,5.634970882345278,5.940496781055069,5.732754483985166,0.34936133,6.1095915,5.1596775,5.501081,5.043389,11.711235,11.310944,11.273335,11.442397,5.7234106,5.2651176,5.895056,8.465529,7.6100597,6.1296806,6.732476,6.3543835,6.9012775,7.4907255,7.0881577
C=C1C(O)CC(=CC=C2CCCCC3C(CCCCC(C)(C)O)CCC23)CC1O,0.96,0.7952657382714956,8.375388444211405,8.367954593345774,8.627919360391376,8.41708013989051,0.8161917,6.032357,5.377262,4.956992,5.5913296,11.208368,10.431104,10.447732,10.955626,7.476923,8.826117,7.681381,8.323511,7.655122,4.9668317,7.5204034,5.992675,6.691416,6.375721,5.1513925
C=C1C(O)CC(=CC=C2CCCCC3(C)C(CCCCC(C)(C)O)CCC23)CC1O,0.9444444444444444,0.9244571681691856,8.342086867797144,8.23818691914692,8.687283323365872,8.421715432129963,0.78820837,6.084384,5.3704224,5.0524874,5.0986547,11.10838,10.410083,10.444906,11.089992,7.6699657,9.576546,8.158684,8.599115,7.8536835,7.454396,8.351942,5.9933896,7.051492,6.262891,5.7605534
C=C1C(O)CC(=CC=C2CCCCCC3C(CCCCC(C)(C)O)CCC23)CC1O,0.9411764705882352,0.7894350391951523,8.369803071117838,8.366378960915785,8.628547192399694,8.41871427441513,0.8158249,5.977639,5.37703,4.9679165,5.5729704,11.329664,10.497416,10.463474,10.926005,7.5173545,8.915056,7.756223,8.49461,7.7064247,4.7723727,7.589303,6.063609,6.9707794,6.191993,5.0398245
CCC(CO)(c1ccc(OCC(O)CO)c(C)c1)c1ccc(OCC(C)(C)O)c(C)c1,0.9285714285714286,0.8891332650370701,7.175753812702146,6.158898272213779,6.922716847308216,6.714781842555805,0.6359039,5.923338,5.1763744,5.805237,5.301508,11.82368,11.099413,10.987656,10.976406,6.3049116,5.2477236,5.421834,7.0802226,7.6294794,6.800542,6.7361584,6.4839864,6.4756455,4.1700563,5.080001
CCC(=CC=CC(O)(C(O)(F)F)C(F)(F)F)c1cccc(OCc2ccc(CO)c(CO)c2)c1,0.9272727272727272,0.9399126379853957,7.480415235099991,6.853888378881719,6.7357717680600375,6.62219412131874,0.8505516,5.676067,5.077862,5.9971733,5.055461,11.957307,11.531466,11.717844,11.462857,5.6221952,5.100333,4.2758827,8.500046,8.75682,6.6667776,7.164544,7.1902895,7.106701,7.0610156,6.914649
C=C1C(O)CC(=CC=C2CCCCCC3(C)C(CCCCC(C)(C)O)CCC23)CC1O,0.9272727272727272,0.9202363539913452,8.340116479228255,8.238692308405243,8.687981322612323,8.424697335014795,0.78802246,6.0187993,5.3701587,5.0281754,5.0960684,11.144338,10.494938,10.45299,11.022452,7.5857015,9.506386,8.007479,8.810809,7.880258,6.926769,8.362869,6.0448465,7.2099686,6.3336873,6.388855
CCC(=CC=CC(O)(C(F)(F)F)C(F)(F)F)c1cccc(OCc2ccc(CO)c(CC)c2)c1,0.9272727272727272,0.9198458162497847,7.4768992551973215,7.04669201098,6.368932870121497,6.501573377934779,0.849716,5.653839,5.0766096,5.9673033,5.0538526,11.961705,11.532625,11.696339,11.58994,5.7017827,5.1657124,4.3356047,8.530852,8.926146,5.942761,6.991512,7.3094645,7.8473525,6.6376023,7.2958817
CCC(O)(CC)COc1ccc(C(CC)(CO)c2ccc(OC(CO)CO)c(C)c2)cc1C,0.926829268292683,0.9304651503933362,6.319169110879472,5.785003098161617,6.2042408062617325,6.216465125659815,0.45193413,5.988681,5.4388957,5.7666864,5.1326723,11.859998,11.1328745,11.02791,11.587564,6.1625566,5.312264,5.8682485,7.2404757,7.1556826,6.640627,7.032222,6.081061,6.7997403,4.261192,4.754877
CC(CCCC(C)(C)O)C1CCC2C(=CC=C3CC(O)C4=CCCCOC4C3)CCCC21C,0.9264705882352942,0.958171826905849,8.341994161036343,8.32302838945752,8.639363148063444,8.407104147453387,0.79901206,6.0498915,5.42032,5.118088,5.1340055,10.732471,10.409354,10.427918,10.635329,7.4416823,9.1747,8.518091,6.7966175,9.078907,6.6477323,8.310275,7.290824,7.350149,5.7062306,5.3326025
